,Threshold,UOI,F1,precision,recall
0,0.2,0.6303184538068706,0.7524798640936203,"(0.9956777996070727, 0.985981308411215, 0.3698966540468638, 0.4083603391273037, 0.701362281822052, 0.9494078081590875, 0.9919900320398718, 0.9620145947354705, 0.7490738325071745, 0.98126540673788, 0.5998871862367209, 0.7843091607496216, 0.9714320896441325, 0.9791000456829603, 0.8324958123953099, 0.9828080229226361, 0.9260903887902112, 0.9780878004397604, 0.9824598930481283, 0.615174189395768, 0.9917784508870618, 0.6296391752577319, 0.9937958846034536, 0.9866865375062096, 0.9706135074755112, 0.9770190413657256, 0.9745341614906833, 0.991773609740046, 0.9923435419440746, 0.9891304347826086, 0.7456225680933852, 0.9661468812877264, 0.9943067335176421, 0.9917747914735866, 0.9917538461538462, 0.9942610121487665, 0.9706239870340356, 0.9909018987341772, 0.9725974527209572, 0.9856858846918489, 0.9875201288244766, 0.9850968703427719, 0.9287502845435921, 0.9772565742714996, 0.9796511627906976, 0.7739766081871345, 0)","(0.8235294117647058, 0.7537785105798296, 0.873821609862219, 0.8843754430738693, 0.6253558550009489, 0.6474224748230133, 0.7762919626688954, 0.7117377681369005, 0.680992362791139, 0.7117654070807009, 0.7522989860881868, 0.7966422322061953, 0.7664432138346449, 0.6964822487610691, 0.7901430842607313, 0.28425414364640883, 0.5924873737373737, 0.39811128599203777, 0.8443790789594632, 0.640905280804694, 0.8054496796691266, 0.8794096472282218, 0.9127255460588793, 0.9121888490860659, 0.8900094547746612, 0.8755516328331863, 0.9069364161849711, 0.592723697148476, 0.8866745984533017, 0.8790983606557377, 0.8439306358381503, 0.5601341498979294, 0.7650802235442582, 0.8331062670299727, 0.8454073335781357, 0.47514737048316147, 0.7189915209724619, 0.5544488711819389, 0.6360424028268551, 0.6227078623461442, 0.6233799237611182, 0.4126092384519351, 0.6202964652223489, 0.6235827664399093, 0.204707668944571, 0.573937554206418, 0.0)"
1,0.25,0.6455916563236936,0.7716538183630719,"(0.9926442121564073, 0.9851825081315504, 0.6590045592705167, 0.5771543086172345, 0.6810372597444433, 0.9884405670665213, 0.8683588531497277, 0.7642966695880806, 0.7723719676549865, 0.9690048939641109, 0.9911182108626198, 0.7050702917211973, 0.8603588354773188, 0.9787059787059788, 0.9837539529980778, 0.5789992605373429, 0.9586403613025909, 0.9787526487600939, 0.9795433996383364, 0.9967037345600753, 0.9879317111459969, 0.9845593275370684, 0.47028608784982723, 0.9810500155327742, 0.978446379871558, 0.9970188804239815, 0.9548058561425843, 0.9931170108161259, 0.9719504240052185, 0.9970306829429231, 0.9983498349834984, 0.9900267574799319, 0.9183037528790137, 0.9955769125757659, 0.9923842308780534, 0.99155918698089, 0.9833006558042052, 0.990439497716895, 0.9800955414012739, 0.9760894716544543, 0.958128078817734, 0.9650375939849624, 0.9936162223056703, 0.9853111712408195, 0.9687626774847871, 0.9892332789559544, 0.9620743034055728)","(0.8641725648803505, 0.8714833759590793, 0.8508707382879568, 0.8571428571428571, 0.8807192945914045, 0.8183459732755507, 0.8141831671243436, 0.7046969696969697, 0.8514336651314812, 0.7508532423208191, 0.6110782807390773, 0.6501985517402477, 0.7257799671592775, 0.7204002893658066, 0.6777307873040284, 0.8689272503082615, 0.33168846122213996, 0.5786942977109576, 0.8757199151257957, 0.6651678874465153, 0.8478443920511957, 0.8220675944333996, 0.47243331144259937, 0.9131566265060241, 0.6819965661025263, 0.8639494833524685, 0.8891523414344991, 0.29216083309227653, 0.30192502532928067, 0.2863369338639378, 0.8672591743119266, 0.6802607387598195, 0.8541902961562697, 0.5961092038581004, 0.7167134951042997, 0.7766024962978634, 0.8229037003507977, 0.6153368794326242, 0.6267820773930753, 0.6346539618856569, 0.41590591331523974, 0.6363411006445215, 0.624940954180444, 0.5947270181987867, 0.6071700991609459, 0.6306156405990017, 0.6004830917874396)"
2,0.3,0.651095135917985,0.7651314451481972,"(0.9185619955979457, 0.9814743342338865, 0.990156762668611, 0.9784198975859546, 0.9910879435009249, 0.7923344947735191, 0.9487693710118505, 0.9634422516984794, 0.9646129541864139, 0.9609595484477893, 0.9780226545185915, 0.9601583917148949, 0.7839705204974666, 0.9714417319207739, 0.9840969595067955, 0.9798751614291864, 0.9429862933799942, 0.9801793298725814, 0.9587628865979382, 0.9588877855014896, 0.98927438910651, 0.9890710382513661, 0.9814993048871778, 0.993054876259415, 0.9891336855747184, 0.9738938053097345, 0.9941785252263907, 0.9697065320290312, 0.9835404769902586, 0.9930046635576283, 0.9933288859239493, 0.9915254237288136, 0.9903210349784379, 0.994744374259771, 0.990318772136954, 0.993240168995775, 0.9908842297174111, 0.977264858626659, 0.9849564528899446, 0.9863289103337354, 0.9862313139260425, 0.9852827265685515, 0.9878095238095238, 0.9829545454545454, 0.4683777889615836, 0.992671009771987, 0.9878209348255431, 0)","(0.8531516183986372, 0.5481194094191184, 0.6921508664627931, 0.8621384255902023, 0.40947617062665, 0.8618533257532689, 0.8136335209505942, 0.7074306347396427, 0.4428488540760081, 0.8163292488012787, 0.6259653270291569, 0.591962441314554, 0.7785020011435105, 0.681128216169663, 0.5970840771911927, 0.7517958880356701, 0.8293152090279559, 0.7686898593634345, 0.4738511824649106, 0.40126329787234044, 0.9130584488249979, 0.45167193478622525, 0.8845412490362374, 0.9024, 0.9210917192721871, 0.8805761152230446, 0.29674679023071726, 0.9110584049807293, 0.8813967489464178, 0.8716374269005848, 0.8797636632200886, 0.8457047539616347, 0.8255312350215689, 0.7142730590694872, 0.5033950617283951, 0.8228863758750673, 0.7828808864265928, 0.7744649716480703, 0.608759481282114, 0.614017521902378, 0.4158580077963009, 0.6347305389221557, 0.20438243871679673, 0.6207669881139269, 0.20454212454212453, 0.5789598670149608, 0.6155897435897436, 0.0)"
3,0.35,0.6645256526277721,0.787429538312,"(0.9843812575090108, 0.9918669131238448, 0.6923985821189445, 0.5594225653103058, 0.7205713347561977, 0.9841938883034773, 0.9902711209671651, 0.7011792255582504, 0.7894587299332292, 0.9534485614887624, 0.9872141997593261, 0.9737595419847328, 0.8739674034382675, 0.9825581395348837, 0.9867197875166003, 0.9862748023273161, 0.9551012958569082, 0.9783187805239011, 0.9771220868077828, 0.9927406023143822, 0.9913294797687862, 0.9597694100331167, 0.9893160399365494, 0.9784852024922118, 0.9787593531257542, 0.9916499665998664, 0.981203007518797, 0.9926021228690898, 0.981888745148771, 0.987880773010154, 0.9966711051930759, 0.9933920704845814, 0.9951136605056299, 0.9931275256343294, 0.9964927663305567, 0.9932228543161019, 0.9716839417154874, 0.9929668436916894, 0.9794709830240821, 0.9881188118811881, 0.9888932963109877, 0.9950229709035222, 0.9833628318584071, 0.9284383153186732, 0.9851449275362318, 0.7113110539845758, 0.9948096885813149)","(0.833785617367707, 0.8237642001842186, 0.8567251461988304, 0.8819444444444444, 0.8904443091905052, 0.8137306150897369, 0.6565642193132233, 0.8530728530728531, 0.797274031563845, 0.6735322800858202, 0.782147539029913, 0.6896046852122987, 0.7938552017846279, 0.5026769779892921, 0.6435288294976491, 0.5654777179026602, 0.6089131952525018, 0.4213998852553069, 0.6289567850261492, 0.6934779334237083, 0.8980624890905917, 0.46038890359779955, 0.6899973968501887, 0.9172294214272677, 0.8840200566819272, 0.8561130334486736, 0.9190140845070423, 0.8832283915283343, 0.8884986830553117, 0.8787878787878788, 0.5778807180081066, 0.7603564547206165, 0.8497822931785196, 0.5987635905595333, 0.7132099152808283, 0.7072831351827389, 0.7499710144927536, 0.36961051450552973, 0.41662468513853906, 0.634375794558861, 0.2044280442804428, 0.613405711588388, 0.6415704387990762, 0.608600048863914, 0.6172531214528945, 0.6123036069926975, 0.5813953488372093)"
4,0.4,0.6345519801570082,0.7573907290475409,"(0.8757901930633863, 0.9825796886582654, 0.9965661961083556, 0.9900963597430407, 0.7013888888888888, 0.9848416289592761, 0.9731265020755954, 0.9670267907325298, 0.9791156795562082, 0.9710509348807221, 0.9752096924510718, 0.972092566206456, 0.7904399199257849, 0.9538074548364966, 0.9612782831817122, 0.9732985130309652, 0.9342244987194703, 0.9813294704651537, 0.9795265515035189, 0.9959312839059674, 0.9777831441680753, 0.9840728100113766, 0.9921644448967132, 0.9917656672323842, 0.9894026248302912, 0.9888047415212381, 0.9854132901134521, 0.9935043845404352, 0.9772126816380449, 0.9950867998689813, 0.9844054580896686, 0.9756585528509503, 0.9870552936133733, 0.9940045897877223, 0.9877226002606052, 0.9899670450384475, 0.9931239082818089, 0.9847608181892267, 0.9889328063241106, 0.9883017345703913, 0.9955982392957183, 0.9782861574253586, 0.9804290553255551, 0.9623520975259949, 0.7809085681426107, 0.9728682170542635, 0.9950877192982456, 0)","(0.5912341407151096, 0.8557133634602969, 0.6108512628624883, 0.8401090165796048, 0.8740984957758088, 0.8183869148336154, 0.7090098694683222, 0.7538581373837691, 0.8521726782164158, 0.6668880623450231, 0.6097902097902098, 0.7457876286328169, 0.5868769258655067, 0.5100892747951572, 0.5017044071098126, 0.7307723089235695, 0.6464384508990318, 0.6015193370165746, 0.3835650757860454, 0.8333963834455625, 0.4433494839998905, 0.8926728586171311, 0.878774222622803, 0.4626843787572212, 0.8244555482228717, 0.6851471594798083, 0.8878504672897196, 0.8939216832261835, 0.877520759193357, 0.8704871060171919, 0.2955809189347381, 0.7192723697148475, 0.8326583743129882, 0.5905078391274711, 0.5893807450411224, 0.7375600174596246, 0.6651254340519562, 0.42583782640871126, 0.6310214375788147, 0.6143430290872618, 0.6255971838068897, 0.6351963746223565, 0.2066476281135967, 0.40983356237593527, 0.6030195381882771, 0.63632173311823, 0.6007201864011862, 0.0)"
5,0.45,0.672655569547622,0.7955540419238247,"(0.9933176100628931, 0.9913263462233466, 0.7054697211862901, 0.5669473434535104, 0.6951805361847203, 0.9655130833232847, 0.9882101489244346, 0.9671927646745877, 0.7859081366173383, 0.9344237000462892, 0.9789016248897846, 0.9855095290596945, 0.9492857142857143, 0.9935923935510541, 0.9895088221268479, 0.9773188700040606, 0.9908740909739056, 0.9816149963950973, 0.995310089478556, 0.9938951027137828, 0.9844707309675462, 0.9782284107087051, 0.9953888073779082, 0.9894706336939721, 0.9660540936565114, 0.9789029535864979, 0.9859660574412533, 0.9888451443569554, 0.9843648208469056, 0.9838390501319261, 0.9996648793565683, 0.980695782132182, 0.99531569571815, 0.9948739262953726, 0.9907077777107344, 0.9191931510524647, 0.9965304430593509, 0.9840573933838183, 0.9769080234833659, 0.981271946937183, 0.9840063974410236, 0.9900687547746372, 0.9911158493248046, 0.9759503491078355, 0.9619365609348914, 0.9924181963288109, 0.9841269841269841)","(0.842895263509006, 0.7834904313053414, 0.6563403552251136, 0.6526725373745648, 0.8671950512275275, 0.4120734908136483, 0.6741451483937726, 0.8134228187919463, 0.7237232989107371, 0.7372778183588995, 0.6009743649228628, 0.713048433048433, 0.7740996019803903, 0.593603358854038, 0.7564710171345242, 0.7713226205191595, 0.6736791080950073, 0.5095910919809113, 0.5482697668094364, 0.5951542320418401, 0.4425447207678883, 0.8232371935361328, 0.9195469067673541, 0.9258790563138389, 0.7378753963812722, 0.8896755162241888, 0.5913094539048738, 0.8738764859379531, 0.8948771098608232, 0.866144018583043, 0.8281510272071072, 0.7554766701845278, 0.8554578962290899, 0.705091069762875, 0.8525364764525676, 0.663883310432301, 0.7278925295476463, 0.49758162031438935, 0.6293494704992436, 0.4224405811707399, 0.6186525892408246, 0.6127659574468085, 0.627023381294964, 0.6105314244115506, 0.6317982456140351, 0.5998552821997105, 0.41486988847583645)"
6,0.5,0.6784715376829736,0.7993893727236607,"(0.9868217054263566, 0.98762286130324, 0.9921996879875195, 0.4097972816254581, 0.9927343182368612, 0.9913028044018459, 0.9674995631661716, 0.9749641900728654, 0.982510885341074, 0.9865525672371638, 0.9869828815977175, 0.9919976463665784, 0.8136873426413367, 0.9122700626642409, 0.9710617485225188, 0.9399680755083628, 0.9541530788413581, 0.9872530274059911, 0.967659273659097, 0.9760662227820767, 0.9916925547139516, 0.9855428796223447, 0.9934620800643734, 0.9793940630419259, 0.9779285468911028, 0.9947472094550229, 0.9820359281437125, 0.9890909090909091, 0.9771241830065359, 0.9983509234828496, 0.9863059452237809, 0.9761281883584042, 0.9883992335829995, 0.9642670080893907, 0.9899318167335754, 0.9907383419689119, 0.9943206020161863, 0.9919463087248322, 0.9848605577689243, 0.9837688044338876, 0.9923969587835134, 0.9843875100080064, 0.9877687175685693, 0.9872324446113406, 0.7331611364991059, 0.998655462184874, 0.9366745682356925)","(0.5783077796706417, 0.8609965090447477, 0.6188275358793481, 0.6293367528674219, 0.8575313807531381, 0.6641693423712689, 0.8052646887725422, 0.768758593596543, 0.6623128852362783, 0.43135561860120886, 0.6474441455140952, 0.6460129516802697, 0.7927305162225443, 0.5584013857955952, 0.6040821501014199, 0.5382933905647629, 0.416060225846926, 0.6652351299119605, 0.7201288880120997, 0.4033313503866746, 0.7859850056712867, 0.8843099188139781, 0.9028336380255941, 0.9217549923195084, 0.6954317820935629, 0.8391027416228192, 0.9254529254529255, 0.5835771406280476, 0.9041427275476263, 0.8541196388261851, 0.8332392776523702, 0.6154639175257732, 0.6206413790086188, 0.8333668645005533, 0.7993722342286714, 0.8314490705511469, 0.7867213391001516, 0.7690795559666975, 0.6258227848101265, 0.6221832749123686, 0.6147744174516608, 0.6173738388149635, 0.6295771320576423, 0.601464195836193, 0.5956416464891041, 0.6267932489451477, 0.6178244360062541)"
7,0.55,0.6531537580146303,0.7723269535476488,"(0.9800451807228916, 0.9973333333333333, 0.9941154836336888, 0.934860612751863, 0.9900990099009901, 0.8057316428948759, 0.9601091748897753, 0.9852879361076082, 0.9689232319838736, 0.8119425958621939, 0.9820084215898941, 0.984271022383545, 0.8091299897645855, 0.9631848064280497, 0.9624722806618525, 0.9851726329167549, 0.9094235033259424, 0.9790089470061941, 0.9842333464722113, 0.9548553528653031, 0.9948654001320326, 0.9900680582239735, 0.986096807415036, 0.991495747873937, 0.9901734683645844, 0.9600886917960089, 0.9840796019900497, 0.9881695695037792, 0.9903494176372712, 0.9939556749496307, 0.9870560902754729, 0.9993440472285995, 0.988383737232125, 0.9932014082797135, 0.9950806677235848, 0.9939390072731913, 0.9931705997700994, 0.9875827389809636, 0.9915764139590855, 0.990023942537909, 0.9846577498033044, 0.988, 0.98796992481203, 0.9795772124686493, 0.978951123795933, 0.960406828913912, 0.9761328260117607, 0)","(0.8926611796982168, 0.8396407953816549, 0.723888591322978, 0.8189071566731141, 0.7109652720809406, 0.775912501589724, 0.6953018093355633, 0.4411820063993977, 0.820250284414107, 0.827794701375427, 0.6084756483238457, 0.7523699421965317, 0.7772140946987572, 0.636205731930908, 0.7007368769663852, 0.5582763173688633, 0.7476984778051226, 0.5253439202289724, 0.4721565661340645, 0.45684563166710745, 0.769531914893617, 0.8310509771764384, 0.656721536351166, 0.9175076381816498, 0.9098028376635342, 0.7697777777777778, 0.5756693830034925, 0.5885691916226268, 0.8791728212703102, 0.8841099163679809, 0.867561260210035, 0.8470948012232415, 0.8394284742303113, 0.7267736261393316, 0.6943048167488165, 0.8124641460234681, 0.7883211678832117, 0.5164761444748565, 0.5672326755392382, 0.6109332676680621, 0.20957883278908146, 0.6170372220834375, 0.409250175192712, 0.6196736174070716, 0.6192733017377567, 0.4057704112952732, 0.40397967217808317, 0.0)"
8,0.6,0.6949771312137454,0.8058540312410842,"(0.9855403348554034, 0.9830568302153194, 0.9958813838550247, 0.9925295343988881, 0.9915611814345991, 0.9748414808754347, 0.9615249472944484, 0.9773519163763066, 0.9825486275222687, 0.9814152966404575, 0.9802902979373568, 0.9820574162679426, 0.9745526186176325, 0.9285603834853874, 0.9804655987092313, 0.9830233986709108, 0.9702579034941764, 0.9786931818181818, 0.9820658342792281, 0.9966568601230276, 0.9962939599432267, 0.9801194789932426, 0.9901930738584125, 0.9859864905736465, 0.977970348715807, 0.9797782126549249, 0.9580223880597015, 0.9934895833333334, 0.9724950884086444, 0.9955285851165762, 0.9976666666666667, 0.9861963190184049, 0.989548796309644, 0.9934667451442025, 0.9948179731059363, 0.9869424692954105, 0.9955447339791742, 0.9906103286384976, 0.987585102122547, 0.9736137667304016, 0.997140522875817, 0.9837121212121213, 0.9937820043891734, 0.9558157099697885, 0.9710878207444886, 0.9966777408637874, 0.9763226045135035)","(0.8729356252106505, 0.8846886912325286, 0.5932286555446517, 0.7830317982456141, 0.8680484301251795, 0.8775547781255754, 0.7865766024719747, 0.7241325898389095, 0.7989652623798965, 0.6681265206812652, 0.7649022412970911, 0.6465075990235452, 0.6508771929824562, 0.7412665103073695, 0.6961662779755329, 0.7247611989459816, 0.5484363978368211, 0.40967198493707263, 0.8722653493295696, 0.5449294435914309, 0.7148717078276613, 0.9036568848758465, 0.922615648201028, 0.9022140221402214, 0.8941389843451699, 0.2939909962810726, 0.9123482380811371, 0.8724985706117782, 0.8876270173341303, 0.8926116838487973, 0.8685432385374348, 0.669692010117542, 0.8497771725674672, 0.8327495189698555, 0.787394216291989, 0.39901735312565334, 0.723804143126177, 0.7447409289848934, 0.41874681609780945, 0.6319185902208985, 0.6015278462296698, 0.6385542168674698, 0.6383928571428571, 0.5952492944496708, 0.21624014163849992, 0.41588687876897484, 0.4061249615266236)"
9,0.65,0.6644069333806313,0.7771325208341372,"(0.9863707165109035, 0.9951744617668894, 0.9923357664233576, 0.9920508744038156, 0.9906759906759907, 0.8285253538792331, 0.93608807549328, 0.9657705793955585, 0.977311208940061, 0.978801075957474, 0.9905820595954917, 0.9601035850125434, 0.7984849910605063, 0.9865972529906956, 0.9735012537041259, 0.9742385209880285, 0.9898400752587018, 0.9864210650608101, 0.9738675958188153, 0.9693970077074203, 0.9900469483568075, 0.9933722527472527, 0.9919261822376009, 0.9917985333847935, 0.9862618218018915, 0.9637289214126631, 0.9917191122888374, 0.9813586097946287, 0.991, 0.9851565020974508, 0.985497692814766, 0.9960732984293194, 0.9861627043090639, 0.997631903002747, 0.9938415094339622, 0.9941914384731781, 0.9922882882882883, 0.9947229551451188, 0.9893153937475268, 0.9852, 0.9853985793212312, 0.96777950310559, 0.9764792355751561, 0.9876900796524257, 0.9790450017176228, 0.9908141962421712, 0.9891803278688525, 0)","(0.8627384196185286, 0.8667959909473003, 0.6731864322852191, 0.6390924131411014, 0.4094412331406551, 0.8413391557496361, 0.34552459362465693, 0.8212409484594633, 0.8554913294797688, 0.666100069735007, 0.7588409225310467, 0.45508247027234366, 0.6181162587412588, 0.3378855126892, 0.6901385690623358, 0.7857492055732095, 0.6453631010794897, 0.7703799336038363, 0.41872659176029964, 0.3393646006930667, 0.8756747778423719, 0.8083780460541024, 0.8872631776402176, 0.9023790711965587, 0.9074837409544747, 0.21127153518867267, 0.8643187066974596, 0.9018583042973287, 0.8793256433007985, 0.8960962723803934, 0.8875037102997922, 0.8278487897742725, 0.8254819651741293, 0.7429196204987126, 0.5798502862175253, 0.7412745205080613, 0.7709278235063554, 0.7263269434543879, 0.6222000995520159, 0.6168294515401953, 0.6225380204437796, 0.632420091324201, 0.6263554926921263, 0.4149364970720207, 0.6317889603192197, 0.5830466830466831, 0.6286726401333611, 0.0)"
