,Threshold,UOI,F1,precision,recall
0,0.2,0.06944858699316492,0.1265171089657628,"(0.02905384019296465, 0.031334745838409894, 0.030790439543650582, 0.046661836399582025, 0.05062622438423103, 0.055535995735593646, 0.07586516151327156, 0.07178412566827475, 0.0627200631807562, 0.0996923733830194, 0.08501416902817137, 0.08678013630147219, 0.09363370999803013, 0.07905281210825443, 0.056494542743654556, 0.06236255284237873, 0.10585711412545531, 0.08077891426605402, 0.08648123756141178, 0.11316608475464879, 0.11094286995068985, 0.12694896833300962, 0.20265420482290145, 0.20755781161872533, 0.059535981953682524, 0.020494863498276467, 0.03498636508868265, 0.021327831774984405, 0.035545645330535156, 0.044273751253169784, 0.035587436451006337, 0.07023558450165532, 0.14329702151987622, 0.15957517597331397, 0.16632624273542854, 0.1397551201000621, 0.07459304681699457, 0.036423660074989886, 0.034114273439284776, 0.025085422660869508, 0.024617223996587844, 0.03699338108622722, 0.03472806167885413, 0.027836262045509756, 0.032121700920543984, 0.02913164689079323, 0.0)","(0.8651283717907052, 0.8033342493358981, 0.6982515510434292, 0.9085495533815398, 0.8730309356614159, 0.8414597666766378, 0.856247388215629, 0.9016148469510725, 0.9041316825577534, 0.81638653792665, 0.8818674840839424, 0.8927642468668716, 0.8466271576152078, 0.8350800227475831, 0.593127063715299, 0.755939226519337, 0.897159090909091, 0.775298583464494, 0.8268223182277783, 0.8503772003352892, 0.9031708701646257, 0.9215262778977682, 0.9169990503323837, 0.912648112427666, 0.8900094547746612, 0.5894871040502109, 0.9072254335260116, 0.6017699115044248, 0.8866745984533017, 0.8790983606557377, 0.8439306358381503, 0.6613881598133566, 0.8314223904813413, 0.8945925781756845, 0.5154487751140954, 0.877544478281776, 0.6307245941822366, 0.7374944665781319, 0.8417465926299849, 0.6227078623461442, 0.6209233375688268, 0.8277153558052435, 0.7440516913721018, 0.6235827664399093, 0.7015945330296127, 0.6132552760913559, 0.0)"
1,0.25,0.06611464623990025,0.12148952785617068,"(0.026090350473369227, 0.027075415158894528, 0.03775541557842987, 0.04744404246621919, 0.04946572626417036, 0.05636293822649896, 0.0665861414091435, 0.06789574780610899, 0.0664656993508396, 0.06792449848696738, 0.07518054719214809, 0.07519416928216677, 0.09508733667123968, 0.0800075866538115, 0.06343419732332513, 0.07434509677014572, 0.0693509013271416, 0.08506514742078176, 0.0986581770488863, 0.11813531057743944, 0.10162860700663798, 0.09492518553432963, 0.08709648073114577, 0.07220583815773396, 0.09381228599172076, 0.03109632629447498, 0.02920333307374815, 0.031334562815629366, 0.03000312113005044, 0.0357997488568247, 0.04401920838183935, 0.047083488449556204, 0.12530985629725033, 0.17174022819085052, 0.14806449718045112, 0.1628554766560324, 0.19120789198527072, 0.0599433267760124, 0.02481596339091022, 0.025814150356461698, 0.03942456987813867, 0.03370856580242862, 0.0312780746134569, 0.016570347593756703, 0.02547281513008416, 0.03317729351627657, 0.026073828669679083)","(0.8786653185035389, 0.7606564364876386, 0.8840650805330718, 0.880031179138322, 0.9076581267791433, 0.8746840014445648, 0.8817266464325287, 0.9104545454545454, 0.8538602486010003, 0.7244764673661147, 0.7230429815230667, 0.7527057541072958, 0.8684229313914471, 0.8137609516919861, 0.8317741039771028, 0.9253596383066174, 0.7172876058886422, 0.8367533522958147, 0.8892593715267253, 0.9093480310392341, 0.8727686089592456, 0.9281583227905296, 0.7784344997967289, 0.7024578313253012, 0.9004782928623988, 0.8639494833524685, 0.8891523414344991, 0.8764824992768296, 0.9057750759878419, 0.8590108015918135, 0.8672591743119266, 0.803275948520809, 0.8950850661625709, 0.8228706882458722, 0.8584589186888038, 0.8369296946618715, 0.8725811927124589, 0.8279698581560284, 0.6267820773930753, 0.6346539618856569, 0.8269594539024591, 0.8487026937696248, 0.624940954180444, 0.3964846787991912, 0.6071700991609459, 0.6412229617304492, 0.6007246376811595)"
2,0.3,0.06541428830279514,0.1201864303901135,"(0.026063785494212673, 0.03158825610187478, 0.0354061026599057, 0.043922022250195626, 0.05020805618290382, 0.05412240380032899, 0.06508069959383771, 0.07099531402383426, 0.0906787146849704, 0.07709084907217467, 0.07276427431711731, 0.0930783837064451, 0.06629496859336337, 0.10378393519923435, 0.0765932657578935, 0.06973574150376406, 0.06856406188020626, 0.13696795342849846, 0.08680812376725838, 0.0972883126751199, 0.11548667754214247, 0.10244937180509615, 0.07769431546205793, 0.1098844005715028, 0.09856902356902357, 0.04178003315574341, 0.03653825581533561, 0.03650727650727651, 0.02967637748189991, 0.020180480242626104, 0.03526931640532474, 0.035696264917447984, 0.10063470447332903, 0.14188992387076876, 0.18859545638398273, 0.14829453135192192, 0.14396766262952293, 0.08457049247465957, 0.02541888026154475, 0.025545696909106057, 0.02551290401367744, 0.025438134536800636, 0.03570725643548972, 0.029609028186340054, 0.028593871138858286, 0.009017672863388544, 0.03252784198361, 0.0)","(0.8531516183986372, 0.8661493695441319, 0.8114169215086646, 0.9361856417693981, 0.9019730443240239, 0.8895205609247678, 0.8592870544090057, 0.8508171797795515, 0.9083260806498404, 0.8709376664890783, 0.724113475177305, 0.8671549295774648, 0.6372403278063655, 0.638174184519324, 0.8383065544503953, 0.7434563619849723, 0.8866375993844575, 0.8105415741426104, 0.7221047234506185, 0.851313164893617, 0.9140914177498494, 0.8691010924416348, 0.7831855564122333, 0.9024, 0.8334261666047779, 0.8805761152230446, 0.8902403706921518, 0.9110584049807293, 0.8813967489464178, 0.5810916179337232, 0.8797636632200886, 0.8457047539616347, 0.8815572242637268, 0.8803550547464654, 0.7675240054869684, 0.8977741877580326, 0.8813665743305632, 0.7806231327358087, 0.608759481282114, 0.614017521902378, 0.6237870116944514, 0.6347305389221557, 0.8150863088200521, 0.6207669881139269, 0.616043956043956, 0.19298662233832029, 0.6350769230769231, 0.0)"
3,0.35,0.06414002720348567,0.11836256097934097,"(0.02569815656691812, 0.0325377300468373, 0.041427918717090235, 0.04954904549828794, 0.06422088578222407, 0.0573956602139463, 0.05592100688408316, 0.05284153812089453, 0.06810616594461873, 0.08060949498652543, 0.08554686880540446, 0.09151769984261586, 0.07736748311160843, 0.06678974166010136, 0.07698469888384643, 0.08132011092218329, 0.06359853918876494, 0.1020599355363974, 0.09465880370682393, 0.12604942011424614, 0.1595199093706465, 0.08386297571035424, 0.08830040871934605, 0.09212564504450005, 0.11193722923940264, 0.02826401309030024, 0.04165696843141297, 0.036358923606201986, 0.024157837571166553, 0.029698875460352263, 0.010114181474224715, 0.06710898479325135, 0.1046074716443721, 0.096679898404587, 0.14052882314310838, 0.16005627438614486, 0.11947166884188234, 0.052245382881237916, 0.024896644277152217, 0.01752749657413851, 0.02553008537326063, 0.02644781161912709, 0.03267287140202451, 0.02923605976315388, 0.028421206673077726, 0.03183770516950452, 0.023399825010004274)","(0.8724559023066486, 0.8446423088731962, 0.8984730344379467, 0.9133663366336634, 0.9077568134171907, 0.8545042690364175, 0.7628533485107191, 0.7284798534798534, 0.850310856049737, 0.8062804759118393, 0.8571882572597624, 0.877576303637797, 0.6309741093760562, 0.6757882212968471, 0.8283840633506557, 0.9142930459327688, 0.6207431541385463, 0.8750239051443871, 0.8698389760528489, 0.8774664859165537, 0.9094082736952348, 0.7010266819639338, 0.9110698945724326, 0.9172294214272677, 0.8900152605188576, 0.8566897347174164, 0.6126760563380281, 0.8832283915283343, 0.5923324553702077, 0.8787878787878788, 0.2889403590040533, 0.8705041746949261, 0.6633405902273827, 0.5267833465924158, 0.8803298120838127, 0.8135623073535887, 0.7500096618357488, 0.573275631778597, 0.6183879093198993, 0.4141028900754301, 0.613530135301353, 0.613405711588388, 0.6415704387990762, 0.608600048863914, 0.6172531214528945, 0.6123773696245483, 0.5813953488372093)"
4,0.4,0.06537403502883643,0.12002832636868767,"(0.03407515375591027, 0.02871889749708291, 0.03714066037332878, 0.0458341001104159, 0.05062110145545663, 0.052493428233232386, 0.056487621440333695, 0.07656877119710905, 0.07526970758020252, 0.06924763633791527, 0.059896697346162195, 0.0678699423255663, 0.12398008693305465, 0.08928889680983781, 0.08132278343314515, 0.08116159264768782, 0.0544422033798735, 0.0851691716423032, 0.08227519453690317, 0.12776580420867945, 0.11548908632462909, 0.11525584299540312, 0.09451049891492176, 0.11026638078278882, 0.09764654290308435, 0.028733542559706064, 0.03615102566643544, 0.03609950671481508, 0.03498752556962624, 0.05879165537794635, 0.0443555273623344, 0.031114845500495023, 0.10950682682981422, 0.10603732880070604, 0.25241984271022383, 0.13102555052200776, 0.13606147018640943, 0.08189635664177415, 0.017149966241573247, 0.025306644183959313, 0.031890894175553734, 0.017112974116881004, 0.02776307422314904, 0.02771667854229272, 0.02763963988412247, 0.029280564892919813, 0.02942311758841872, 0.0)","(0.8844290657439446, 0.881859264041317, 0.813376987839102, 0.9050647285941403, 0.9130434782608695, 0.8559879676630946, 0.7444550567759737, 0.7550752154228129, 0.9035785288270378, 0.7802869287991498, 0.5681041181041181, 0.6303290738437182, 0.7827442450607214, 0.5922710040357099, 0.8646213781348916, 0.8580232092837135, 0.600838520055325, 0.7346093133385951, 0.6897156457472128, 0.8925626087614436, 0.8764063398209739, 0.9207086343309253, 0.7706474387862401, 0.8897686284859682, 0.8396970554036642, 0.6851471594798083, 0.8878504672897196, 0.8939216832261835, 0.877520759193357, 0.8704871060171919, 0.8867427568042142, 0.7828580793182564, 0.8845096904830778, 0.5528289025221541, 0.6632628377911397, 0.8169103739269605, 0.8266391844465489, 0.7651971667195264, 0.42068095838587644, 0.6221999331327315, 0.6255971838068897, 0.42346424974823765, 0.6199428843407901, 0.6147503435639029, 0.6030195381882771, 0.6383959437658446, 0.6189366659606016, 0.0)"
5,0.45,0.06375535001623664,0.11739982279257771,"(0.019143511046146814, 0.029685961704607102, 0.03923652485695576, 0.050210286684415635, 0.05297135147881417, 0.04786834889086816, 0.07549541998443393, 0.07761054030345929, 0.07252173299297722, 0.07731953341116826, 0.08778577392549004, 0.20942483794629077, 0.09647257958056457, 0.07828964961302799, 0.0693089942429295, 0.09083469341256667, 0.10156104162777674, 0.055801406401551894, 0.07252183238853992, 0.0689640464077429, 0.11835007143009446, 0.07676445440763334, 0.08082701852799366, 0.058312996028500576, 0.05970638353650544, 0.0355894002745513, 0.036023037573184834, 0.059395014287121885, 0.03073824684175194, 0.03534485822955792, 0.04397607827142415, 0.09854168577455746, 0.14082921643424426, 0.14345185743602631, 0.11726339978383199, 0.14602347253411346, 0.09595561599959328, 0.0265110435837691, 0.025190662499621534, 0.02008288682514713, 0.01641925476198419, 0.028074127828262588, 0.029227448021462106, 0.019806500877752323, 0.020379608438711765, 0.028999416479837843, 0.011855146259503062)","(0.5868356682232599, 0.844044558697515, 0.9058240396530359, 0.8883200218444945, 0.8829821509117856, 0.7025371828521435, 0.8896571186679836, 0.8884911757394979, 0.8721176969868439, 0.8949354760165571, 0.8536906004717163, 0.7731813865147198, 0.7709283888295635, 0.8315221865481188, 0.7139385101470409, 0.8943368584901341, 0.8439166262724188, 0.5167961074202302, 0.6436195526548372, 0.47457039171736576, 0.9081315445026178, 0.6244119108149966, 0.6984219188692032, 0.5370755370755371, 0.8921376608841634, 0.8896755162241888, 0.8869641808573107, 0.8738764859379531, 0.8948771098608232, 0.866144018583043, 0.8281510272071072, 0.8589977293805366, 0.8939041678480295, 0.8407874711571506, 0.6553472835211244, 0.7491632315118204, 0.6772522370988361, 0.49758162031438935, 0.6293494704992436, 0.4224405811707399, 0.41243505949388304, 0.6127659574468085, 0.627023381294964, 0.4070209496077004, 0.42375730994152044, 0.6073323685479981, 0.41486988847583645)"
6,0.5,0.06483127390153642,0.11940192472120699,"(0.01647668803926225, 0.0330026873221625, 0.03829443916259796, 0.045069404913079654, 0.05176398396595555, 0.03473620620217479, 0.05530224497068256, 0.07134148025679776, 0.07419366284639677, 0.07730005576818769, 0.08357153065599543, 0.07621483375959079, 0.08261620712048129, 0.06808961660758013, 0.07821756538714368, 0.08162093025036954, 0.05633046786810966, 0.06980468116959787, 0.09961157612560863, 0.06866892106844505, 0.10915720387540369, 0.0986096921778528, 0.10747317795042545, 0.12826301867635664, 0.1079121070001737, 0.035942634132453945, 0.03106587041264967, 0.03545863948803034, 0.035468143912883596, 0.036202504395249545, 0.035138447625507205, 0.039928283211610995, 0.14296942434683751, 0.12566140292504246, 0.17311355092190944, 0.16731604822423043, 0.11732854950896802, 0.06298076771324228, 0.00993672972255943, 0.02919510791028819, 0.02498279075233794, 0.04792967455640524, 0.029160420610344562, 0.02470574415599671, 0.025549947030597618, 0.03527163073416279, 0.03287443297743795)","(0.47279954571266325, 0.8834232518777108, 0.8197518851860861, 0.8798888651421244, 0.9059274755927476, 0.5128433820906172, 0.6620612759356215, 0.8878412885484188, 0.9206046375110067, 0.8320792730562065, 0.8207977541232893, 0.7251025022033184, 0.7517746311368789, 0.6915367483296214, 0.8296568627450981, 0.8471046460792496, 0.596905060644082, 0.6474482857347362, 0.8980074965476426, 0.43337299226650805, 0.869615735745705, 0.9142252029650547, 0.9028336380255941, 0.9217549923195084, 0.9105899596921949, 0.8391027416228192, 0.9254529254529255, 0.8753657109420714, 0.9041427275476263, 0.8541196388261851, 0.8332392776523702, 0.708659793814433, 0.8913243207770049, 0.715504811722496, 0.8932798188741381, 0.8916186542015436, 0.6686139040236664, 0.7690795559666975, 0.20860759493670886, 0.6221832749123686, 0.6147744174516608, 0.6173738388149635, 0.6295771320576423, 0.40097613055746206, 0.5956416464891041, 0.6267932489451477, 0.6178244360062541)"
7,0.55,0.06365398911803732,0.11715542475855915,"(0.03071567644108797, 0.027858666229185463, 0.0314034304661098, 0.042155987455074054, 0.05040211918001098, 0.053444647441086006, 0.06247600375770943, 0.055232060284295253, 0.07352086963737449, 0.07762963798898893, 0.12742866252191934, 0.09070097884433218, 0.08678142253978564, 0.06857960936701094, 0.0793316684047085, 0.06680523944447025, 0.07422318799016094, 0.061441086275159505, 0.060598279625112335, 0.06377342334421517, 0.09782183507770982, 0.11969997321189392, 0.08383327305470938, 0.09944040746024824, 0.10815872772477848, 0.08364222131800877, 0.023540893078168142, 0.035786968164236835, 0.01216302375386225, 0.03455441152436319, 0.04337637587025009, 0.027818227466733618, 0.10948415702389964, 0.17934726962457337, 0.11548346564623908, 0.16833874604389468, 0.1567628983112121, 0.0955552521745914, 0.024760855411428858, 0.029558234845596644, 0.010106965043549188, 0.025452109845947757, 0.03144970201766353, 0.04770074499700489, 0.03226754783099519, 0.031246676199818003, 0.022610548918747846, 0.0)","(0.8926611796982168, 0.8713919178960873, 0.7913765399035887, 0.8904738878143134, 0.8662838392124692, 0.8817245326211369, 0.7752268004662713, 0.6373517786561265, 0.8819681456200228, 0.8889965845102926, 0.7900063251106895, 0.8855491329479769, 0.893188610980022, 0.5392904242658175, 0.8534525583705912, 0.6905533549393831, 0.9200164068908941, 0.5592589173052658, 0.49087642998960007, 0.4902583090893062, 0.8725957446808511, 0.9160311603116031, 0.700960219478738, 0.8302934913433941, 0.9098028376635342, 0.8892444444444444, 0.5756693830034925, 0.88285378743394, 0.2930576070901034, 0.8841099163679809, 0.867561260210035, 0.564729867482161, 0.8610307875489028, 0.7469218058738873, 0.6249572983260944, 0.848813559322034, 0.8145663374838986, 0.7888423764289164, 0.5672326755392382, 0.6109332676680621, 0.20957883278908146, 0.6170372220834375, 0.613875262789068, 0.6196736174070716, 0.6192733017377567, 0.6086556169429097, 0.40397967217808317, 0.0)"
8,0.6,0.07148317942275824,0.12962613233711168,"(0.018479874038526734, 0.03294774537058851, 0.03925341307384985, 0.05173814359096882, 0.05074090704984284, 0.055277181570132776, 0.06280608769583397, 0.07085947795388875, 0.068929737887774, 0.11733531451213472, 0.08786686619038424, 0.20205490018615463, 0.08951279729042343, 0.07837409527413786, 0.07083905927915547, 0.0857902929764643, 0.06736365468274007, 0.05679812460130167, 0.083349478390462, 0.2685715316160095, 0.11301772570881059, 0.06707870283938122, 0.15161184364881986, 0.09778550038818441, 0.07926668679381026, 0.03527726237170303, 0.03653157532784747, 0.02456160117174611, 0.03481012658227848, 0.05394942565871839, 0.05879618109669055, 0.05824774486276265, 0.1489910815564089, 0.21090690550967392, 0.13581909540670833, 0.07392852879143619, 0.15268991450860628, 0.048381831240342135, 0.029083618351220662, 0.026086332851771022, 0.02455783818587899, 0.026791977881401394, 0.03180121024848719, 0.03024099600530502, 0.021119813875253975, 0.024065458045884808, 0.031839679552145166)","(0.5511740253904056, 0.8885006353240152, 0.785819430814524, 0.8904194078947368, 0.9043710240098501, 0.8741177192659424, 0.6051547379515186, 0.9078376703841388, 0.8641537324464154, 0.7685320356853204, 0.8680257510729614, 0.7735254744468069, 0.7911184210526315, 0.8180471546722626, 0.7424000654637699, 0.9121788537549407, 0.6681166235598401, 0.47940408945264756, 0.751789494908761, 0.7259632960444542, 0.8809301536111347, 0.6164033107599699, 0.922615648201028, 0.8133456334563346, 0.39264350260913833, 0.8819729888432178, 0.9123482380811371, 0.5816657137411855, 0.8876270173341303, 0.8926116838487973, 0.8685432385374348, 0.7487477061945147, 0.8861723198811587, 0.7156412912986991, 0.6684665039890625, 0.3884068576207401, 0.83045197740113, 0.627700127064803, 0.6281202241467142, 0.6319185902208985, 0.6015278462296698, 0.6385542168674698, 0.6383928571428571, 0.5952492944496708, 0.43248028327699983, 0.41588687876897484, 0.6091874422899354)"
9,0.65,0.06932863979025124,0.1261638225582399,"(0.03004994483527695, 0.02826951359006482, 0.03644774906161092, 0.045966430757459834, 0.05227715264091252, 0.05520051651414808, 0.058849848351665755, 0.07397161846596012, 0.06458414044817813, 0.07374347010194249, 0.09070964475571681, 0.09067635151226483, 0.1007727129906553, 0.08279233609194883, 0.06055020752152848, 0.07420847735963895, 0.08525404412390072, 0.10059787720005374, 0.1043089213192306, 0.06465471951433074, 0.1089280742794954, 0.1654002609563282, 0.10775692777656556, 0.18151183105386656, 0.08795321899302912, 0.059294108435071415, 0.04405078935365692, 0.03664983244442347, 0.035345729503519115, 0.024272635842883777, 0.03531398740979579, 0.03552381285812648, 0.1471711438361539, 0.250614264752424, 0.14730562998034724, 0.16619262129155585, 0.12825923241968257, 0.06589056053562438, 0.026515633617580924, 0.00889609662540679, 0.01812730493364695, 0.03717566358484939, 0.02137458620426124, 0.032016399406929845, 0.041662808999166745, 0.019379021984124393, 0.03565252671674538, 0.0)","(0.8627384196185286, 0.8949240219851277, 0.7548898242139144, 0.9087686126211297, 0.9108175061932288, 0.8659631246967492, 0.7844099641123073, 0.8770410336504331, 0.782421817103898, 0.8238319386331938, 0.8900059136605559, 0.8762945914844649, 0.630791083916084, 0.8345282804142483, 0.7325980689209389, 0.789782449278905, 0.6148184494602551, 0.8285687938030247, 0.875374531835206, 0.43948892945004364, 0.8340115715748969, 0.903336686787391, 0.9263740386419058, 0.7266262839083487, 0.7196421483313487, 0.633814605566018, 0.8643187066974596, 0.9018583042973287, 0.8793256433007985, 0.5973975149202622, 0.8875037102997922, 0.8278487897742725, 0.8747667910447762, 0.7680492364123725, 0.7485512989872303, 0.5901117298103868, 0.6739085801743285, 0.6471759303856405, 0.6222000995520159, 0.2056098171800651, 0.41502534696251975, 0.632420091324201, 0.41757032846141756, 0.622404745608031, 0.6317889603192197, 0.3886977886977887, 0.6286726401333611, 0.0)"
