,Threshold,UOI,F1,precision,recall
0,0.2,0.5848621351265566,0.7178380867725394,"(1.0, 0.0, 0.9829059829059829, 0.9944289693593314, 0.9707724425887265, 1.0, 0.9916782246879334, 0.9919215233698788, 0.8432416870591622, 1.0, 0.7886264216972878, 0.5815173162130391, 0.9895470383275261, 0.9847254447022429, 0.9469772879091516, 0.9000058820069408, 0.9965198369295019, 0.31916277088308165, 0.3907499155500507, 0.9924310983134512, 0.9702961303215648, 0.9849852896418788, 0.20233459293660638, 0.9781947261663286, 0.9960500329163924, 0.9984691924990432, 0.9195725534308211, 0.9922585639636152, 0.28074534161490683, 0.9296987087517934, 0.38252085228262345, 0.9968255567872619, 0.9037600716204118, 0.26383264911518683, 0.2085889570552147, 0.8197064989517819, 0.8085676037483266, 0.9991865289188969, 0.9979654120040692, 0.5645714285714286, 1.0, 1.0, 1.0, 0.9989550679205852, 0.9862076339142521, 0.8604080090668682, 0.9551143200962695, 0.9994535519125683, 0.24108498267121128, 0.997927604310583, 0.9966281310211946, 0.9985507246376811, 0.9247796679647469, 1.0, 0.9960212201591512, 0.9992961287078934, 1.0, 1.0, 1.0, 0.9979018721755971, 0.986633398681162, 0.9976676928817987, 0.9924661453366393, 1.0)","(0.41025641025641024, 0.0, 0.69, 0.4989517819706499, 0.6858407079646017, 0.6124721603563474, 0.56791104050834, 0.6449071468767585, 0.774253238170764, 0.7163492501610084, 0.81090320259086, 0.8709371614301191, 0.6785168195718655, 0.7191979100473064, 0.6144885132206328, 0.6046631100573009, 0.8111039171252833, 0.8519316515545979, 0.8901500577145056, 0.8390484802114488, 0.7790013613380008, 0.7790259167134719, 0.6637332828665152, 0.8231863442389759, 0.3527628817906272, 0.7590922315973232, 0.5697261133180013, 0.7146640646780039, 0.8102294455066922, 0.7340696686491079, 0.7125964380993582, 0.6853391533291762, 0.6956791399627869, 0.8072883172561629, 0.9302696241200691, 0.7531645569620253, 0.8028864413216863, 0.45578685665516344, 0.5941853422168383, 0.6318751598874393, 0.6851716581446311, 0.45324153757888697, 0.7786328655500226, 0.4348913908791084, 0.7543343146876023, 0.7781004441407584, 0.8586109909130246, 0.5174706464846512, 0.857608640277141, 0.7575249082328265, 0.46358951377996865, 0.7642212010774838, 0.6214234066728643, 0.6369374313940724, 0.7720380364944744, 0.7581629539212694, 0.43997259187132604, 0.42951066027989104, 0.5378297487297279, 0.622940909777845, 0.7266522281288967, 0.7778585976141984, 0.7536389311318705, 0.7590023125206475)"
1,0.25,0.5856186207678861,0.7131555647258396,"(0, 0, 1.0, 1.0, 0.9975786924939467, 0.9539078156312625, 1.0, 1.0, 0.9980544747081712, 0.8024009935145577, 0.99834564905702, 0.9948048488077794, 0.997052852184164, 0.9993050729673384, 0.9988219124288239, 0.99082823790995, 0.9851866780873684, 0.33385385518417615, 0.26950748191457735, 0.4073369822143315, 0.34083266105274607, 0.36858024317948096, 0.9986003445305771, 0.9943448441824089, 0.8533433027130954, 0.9898674980514419, 0.7849666983824929, 0.9695054241052362, 0.9885096895901218, 0.98538322193766, 0.9733872684692357, 0.2748584032542313, 0.998333950388745, 0.9810943060498221, 0.30605794556628624, 0.9846122696902206, 0.8107457898957497, 0.834351011863224, 0.9871510337577386, 0.877815960290187, 0.9979779411764705, 1.0, 0.6978444236176194, 0.865635025476505, 0.962417667570709, 0.9959595959595959, 0.9314303206550854, 0.9960965506253485, 0.9331355545413054, 0.9975341426403642, 0.9987688098495212, 1.0, 0.9959160336518827, 0.9987698868295883, 0.9944575075579443, 0.3880226300538154, 0.9958221426439868, 0.998766954377312, 1.0, 0.999748427672956, 0.19522834323161992, 0.9982630383467688, 0.38298477397950115, 0.9716829919857525, 0.9931921331316188)","(0.0, 0.0, 0.5402542372881356, 0.6807228915662651, 0.7477313974591652, 0.675177304964539, 0.42727905358385526, 0.6693607641440118, 0.5377358490566038, 0.7203022420413725, 0.7631090878435339, 0.8088816680205795, 0.8309590087877299, 0.7756202804746494, 0.6856719234398166, 0.5408070388349514, 0.7226595705362753, 0.7382509244973429, 0.7823035323898285, 0.8395366460972177, 0.9040440469321023, 0.8850958744915747, 0.4991389516736627, 0.8332325065537407, 0.3340860619746581, 0.5553733464523888, 0.6765992345544013, 0.717219589257504, 0.723484373038785, 0.7485172004744959, 0.7101584342963654, 0.7997291021671826, 0.46523464458247066, 0.8024376932872476, 0.8800807876798789, 0.8207594936708861, 0.786158631415241, 0.5490499971299007, 0.8417330677290836, 0.7894917582417582, 0.8105404598387579, 0.5481220657276995, 0.684878587196468, 0.6536981616075246, 0.7905792488860598, 0.7853891670459717, 0.6319314641744548, 0.40391510805310593, 0.7277095568606513, 0.7361422172452408, 0.8330670926517572, 0.4924274295330248, 0.6022126734824912, 0.7529055390702275, 0.8089902992212051, 0.6502485836512891, 0.8012646070113655, 0.31229919033543246, 0.7613146551724138, 0.7670333912372129, 0.8776872439349998, 0.6727900345189854, 0.8089195885576995, 0.6766879992062311, 0.7599073989460537)"
2,0.3,0.6120306727225877,0.7373756904297202,"(0, 0.0, 1.0, 0.9806629834254144, 1.0, 1.0, 0.597331240188383, 0.996316758747698, 0.9933914088314809, 0.9956204379562044, 0.9985636311404769, 0.9877600979192166, 0.9953424657534247, 1.0, 0.9991692818903453, 0.9997925741547397, 0.9920775850293676, 0.9848862259324088, 0.9411874185743533, 0.9922289613343442, 0.30039779063743094, 0.9886716115981119, 0.9901633877959319, 0.9954190245216923, 0.9831876260928043, 0.9548324429334628, 1.0, 0.796343537414966, 0.997554347826087, 0.9967345872518286, 0.9963747376454875, 0.30855281354682074, 0.9938931297709923, 0.9988460855671933, 0.33645678645678645, 0.9953488372093023, 0.9931356041963476, 0.9964946445959104, 0.989783796626277, 0.9992011184341921, 0.9976460517868607, 1.0, 0.9978165938864629, 0.9949509116409537, 0.9831233948881007, 0.9997293640054127, 0.994865776734634, 0.9740881979074998, 0.9931809450633884, 0.9978118161925602, 0.9941542958233982, 1.0, 0.9975219644063978, 0.998670409218496, 0.997329003875563, 0.969050894085282, 0.98582910321489, 0.8753332287909675, 0.8035431825371718, 0.9997695587049199, 0.9945191828599901, 0.9997893850042123, 0.9947006020404484, 0.9961733806442635, 0.9931938633193863)","(0.0, 0.0, 0.5513833992094862, 0.7001972386587771, 0.2382608695652174, 0.22265456117596194, 0.7446183953033269, 0.7405886379192334, 0.5481518315929057, 0.38966975202833964, 0.8129092609915809, 0.8098924731182796, 0.8304, 0.7536453034927094, 0.6839145817538539, 0.6868053576517527, 0.7483771251931994, 0.7135645302897279, 0.7899094033114652, 0.5761357633386159, 0.8930921052631579, 0.5520331325301204, 0.668072780449394, 0.8258439526045159, 0.893970893970894, 0.695929203539823, 0.6322072644145288, 0.6510253736531109, 0.557542620647758, 0.4443085880640466, 0.7507188039102932, 0.85789968384175, 0.8095896089539865, 0.693666204345816, 0.8466741405082212, 0.5749877870053737, 0.6088613625535969, 0.7919826652221018, 0.7947348340328119, 0.7844151771715271, 0.6199880311190904, 0.4449511400651466, 0.7363050483351236, 0.4851593489262755, 0.7939753086419753, 0.7752360965372508, 0.6549809261673668, 0.6478085576798023, 0.6664733178654292, 0.8178324365872406, 0.5494622284572546, 0.5424620179197507, 0.5942028985507246, 0.6464569188103663, 0.7935575280243363, 0.7009399628204122, 0.8074491121697704, 0.3070913792154921, 0.6253077301821762, 0.5293435822352367, 0.7655331117361288, 0.7729382072783522, 0.7476898897108636, 0.7483601202142951, 0.49263932702418506)"
3,0.35,0.6398437886852915,0.7656684584832735,"(0, 1.0, 1.0, 1.0, 0.9698375870069605, 1.0, 0.8144126357354393, 0.9514472455648926, 0.9976525821596244, 0.9960707269155207, 0.97933920320809, 0.9946865037194474, 0.983249581239531, 0.9979484173505275, 0.9995152690256908, 0.8649252181138346, 0.9985461594378483, 0.9930946458960597, 0.987650473333593, 0.984524312896406, 0.9979414951245937, 0.9526474520411653, 0.9946610332245055, 0.9871115566375483, 0.9826643760737155, 0.9986477349560514, 0.9981165243596183, 0.991894852135816, 0.9953469276036677, 0.9957796775240775, 0.9975643702157272, 0.9927967428750392, 0.99699604743083, 0.9989711934156379, 0.2899626956733954, 0.9995100440960314, 0.9899230973216654, 0.973813169984686, 0.9530061571894242, 0.977641056422569, 0.3419262441818833, 1.0, 1.0, 1.0, 0.9833583208395802, 0.7771531820919494, 0.9942032155747567, 0.993225576420252, 0.9949645227740902, 0.99469452496855, 1.0, 0.9993364299933643, 0.9987925135842222, 0.9992637585127921, 0.9979098931723177, 0.8394438093212453, 0.9998645170031161, 1.0, 1.0, 0.9977426636568849, 0.9981746890210925, 0.9988980532273684, 0.9979580260918888, 0.9941776586974443, 0.897201065370777)","(0.0, 0.4513715710723192, 0.6199616122840691, 0.74, 0.6645468998410174, 0.6257668711656442, 0.7419064748201439, 0.6416876574307305, 0.4499395039322444, 0.7991803278688525, 0.792019176536943, 0.8282138794084186, 0.559580552907531, 0.8165467625899281, 0.7388032963095664, 0.7457907934802078, 0.7848028946867264, 0.7801774006941766, 0.5990406653907043, 0.7769620928990923, 0.7642080809756907, 0.809939201691779, 0.7806113221197323, 0.6023506794250011, 0.8740102792054452, 0.49898648648648647, 0.6338915470494418, 0.734945625710112, 0.7640508456770669, 0.6021463159272347, 0.7448687970901533, 0.6431884057971015, 0.7869711718457506, 0.5797014925373134, 0.8834714255364351, 0.6482364156339371, 0.8181021257944335, 0.5974257797820368, 0.7363486899639696, 0.5961204135785525, 0.21773825809393524, 0.5569540591567024, 0.7242547425474255, 0.5759294265910523, 0.604794836330106, 0.7591684644047852, 0.7936092194866422, 0.8663694795770267, 0.7691082802547771, 0.7065268065268066, 0.23237204468693168, 0.5562326869806095, 0.6121869988898483, 0.5723170988825638, 0.6541081554210907, 0.7679435729052657, 0.6776859504132231, 0.4450847740750021, 0.7326709796672828, 0.7567197397705873, 0.5732867404387497, 0.7263500388500389, 0.743052622687727, 0.537809738829891, 0.51532474503489)"
4,0.4,0.6539040676427066,0.7776614040892276,"(0, 0.3650621957815035, 0.9551820728291317, 0.9943661971830986, 1.0, 1.0, 0.9953650057937428, 0.9966329966329966, 0.9152340425531915, 0.9996084573218481, 0.9972868535723095, 0.7757053851343307, 0.9995669120831528, 0.9661051144961162, 0.9983316340717397, 0.9967510023503388, 0.9936625966454011, 0.9985218033998522, 0.9929364837539126, 0.9982116498240037, 0.9518481913421625, 0.9979948889325733, 0.9982125124131083, 0.9878591663294213, 1.0, 0.9986313868613139, 0.8979212438735846, 0.9549211119459053, 0.997472818101675, 0.9939375568354046, 0.9993684875276286, 0.9991784037558685, 0.9961467104324248, 0.9997945768282662, 0.9962683086108779, 0.9984502130956994, 0.9925104853205512, 1.0, 0.9849782184167042, 0.9919129539773562, 1.0, 1.0, 1.0, 0.9992464204973625, 0.9988940771688376, 0.9993314018275017, 1.0, 0.996078980534939, 0.9994908350305499, 0.9779802581624905, 0.9978198664668211, 1.0, 0.9944835195145497, 0.9950502474876256, 0.9856452970626024, 0.9859990053938258, 0.9998407474254167, 1.0, 0.9991121633619414, 0.9962822399504299, 0.9981858705229876, 0.993545285998764, 0.9831787345978126, 0.9984715322888804)","(0.0, 0.5357142857142857, 0.6847389558232931, 0.7447257383966245, 0.6907692307692308, 0.6374269005847953, 0.7158333333333333, 0.6911850554582604, 0.758499083086472, 0.7415045018878885, 0.7855708827148501, 0.8074937001693725, 0.6895727517179564, 0.7068940064954237, 0.6075014100394811, 0.5975053870379579, 0.680231381055676, 0.7614055851438555, 0.7736268479551095, 0.8090045321738331, 0.6346909186766838, 0.7088918677390528, 0.62775956284153, 0.7658039215686274, 0.2677051258829922, 0.6847044103847357, 0.38829204121903094, 0.7618762175932864, 0.6368002401320726, 0.602314474650992, 0.7419127988748242, 0.799793310785419, 0.7785833798103736, 0.5540125213431987, 0.8423252879002997, 0.7579411764705882, 0.6684826472962067, 0.6265515824085491, 0.8346486761710794, 0.8188880796309784, 0.5968939905469277, 0.6912028725314183, 0.737758945386064, 0.6291814946619217, 0.7039923789728934, 0.5404688724160791, 0.8171252371916509, 0.8595770392749245, 0.6449811072778051, 0.5403251179863661, 0.4715085957118022, 0.5257461645746164, 0.8043502509760179, 0.26166528615942886, 0.7756162186661089, 0.63552531005745, 0.6160664638733523, 0.7390142517814727, 0.7401885551414163, 0.6790729595607644, 0.6810963748894784, 0.6848906560636183, 0.7366319174316684, 0.4819254887495389)"
5,0.45,0.6481919102922225,0.7692828683778415,"(0, 0, 1.0, 0.9972677595628415, 0.9947643979057592, 0.9937759336099585, 0.9966101694915255, 0.994933749025721, 0.9986323227718259, 0.8059640522875817, 0.9951807228915662, 0.996703779665983, 0.999008428358949, 0.9987728388328334, 0.9997035866021144, 0.9979579488730903, 0.894780310538487, 0.9906514465656366, 0.9973230490018149, 0.9989183192345028, 0.9931414854399452, 0.9994522548840606, 0.9851489891731341, 0.9983219130191582, 0.9884042921426099, 0.9998041136141038, 0.9991419991419992, 0.9967007588254702, 0.9998115104297562, 0.994243485025282, 0.9963358778625954, 1.0, 0.995145294403218, 0.9906691696113075, 0.9968839738498197, 0.9998589363803075, 0.9990506329113924, 1.0, 0.9941393808128424, 1.0, 0.9871180347513481, 1.0, 0.9921342422653382, 1.0, 0.9973656480505796, 1.0, 1.0, 0.9864864864864865, 0.9991935483870967, 0.9971352568037651, 0.9937098126922002, 1.0, 0.8939087632943659, 0.9982334047109208, 0.9996296296296296, 0.9989771129011635, 0.9887976855278208, 1.0, 0.7865091201101296, 1.0, 0.9997780408404854, 0.9972982930124032, 0.9954264524103832, 0.9988107250973043, 0.9951615012423173)","(0.0, 0.0, 0.350109409190372, 0.6952380952380952, 0.7407407407407407, 0.6931982633863966, 0.6426229508196721, 0.6674509803921569, 0.8149181547619048, 0.7695007800312013, 0.5937106918238994, 0.796849379245725, 0.8466386554621849, 0.688763516690174, 0.7022000138802138, 0.7091798344620015, 0.6321624460263742, 0.8042019491931619, 0.6560121765601218, 0.7723948615668361, 0.8099799561832844, 0.7928736964078795, 0.8279916250603963, 0.6824395373291272, 0.784693597142072, 0.4386010140070465, 0.6700230149597238, 0.6159021406727829, 0.7280172019397932, 0.5273342410364319, 0.5461087866108787, 0.7336116910229645, 0.5295615589016829, 0.6078252032520325, 0.712147003622714, 0.6530311405933297, 0.5719202898550725, 0.7998161764705882, 0.8533464566929134, 0.6380759651307597, 0.8791355389541089, 0.6743350107836089, 0.7341870391928599, 0.6995388963260449, 0.6331103678929766, 0.7430706194263678, 0.578976578976579, 0.8634491498574295, 0.5638652912621359, 0.7308038392321535, 0.7633415655535273, 0.4895810484755429, 0.5263157894736842, 0.6306479978354979, 0.377905348641837, 0.7332019519519519, 0.7524511686250416, 0.20412496208674552, 0.645209862601167, 0.5647130647130647, 0.6627918383362762, 0.7827469879518072, 0.7870791184088355, 0.6704160619254959, 0.7441087317884032)"
6,0.5,0.6209582301056857,0.7453023463642723,"(0, 0, 0.9963768115942029, 0.991869918699187, 0.9924242424242424, 1.0, 0.4995898277276456, 0.9973392461197339, 0.9941944847605225, 0.9971817754814467, 0.9984534488091555, 0.994246124941287, 0.9920165582495565, 0.9992992291520673, 0.9974314188842084, 0.9984713932158975, 0.9965359634351696, 0.9902064951263454, 0.9934147636749867, 0.9978868088103817, 0.9978188074099106, 0.9990062036981269, 0.9923259185910811, 0.996438782163816, 0.9843195550014385, 1.0, 0.9836065573770492, 0.9997887621461766, 0.9927565392354125, 1.0, 0.9776134943773428, 0.9992291997279529, 0.9972084646555606, 0.9980435870603758, 0.9984973703981969, 0.9995045007845405, 0.9925903056498919, 0.9963219385547382, 0.9935212548306434, 0.896106399383192, 0.992858485247134, 1.0, 1.0, 1.0, 1.0, 0.9990002221728504, 0.9914733445997849, 0.9952841311011554, 0.9981381878361605, 0.9979071537290716, 0.9899209266065263, 0.9984164687252574, 1.0, 0.998730964467005, 0.9995257291913683, 0.9815503432494279, 0.9966501968009379, 1.0, 1.0, 0.999633072407045, 0.9988699813879287, 0.9953940634595702, 0.9987133396404919, 0.9616701100866508, 0.9882348084544254)","(0.0, 0.0, 0.5876068376068376, 0.7379032258064516, 0.7250922509225092, 0.6703296703296703, 0.6304347826086957, 0.550012227928589, 0.7139134966128192, 0.770878721859114, 0.8015892724112242, 0.44593669352715015, 0.792722547108512, 0.7599253930189181, 0.6474589835934373, 0.6803055100927441, 0.7475458351378663, 0.5192209868468861, 0.7859003445088648, 0.8021473060673374, 0.8029864767979431, 0.8118101950419695, 0.7609904265994087, 0.679876796714579, 0.8254715084248201, 0.6561844863731656, 0.6350067842605156, 0.5940010040160643, 0.4044428050329932, 0.4984930681133213, 0.4765022330491271, 0.6938698403702654, 0.49701539428212377, 0.6595706296229479, 0.8183497536945813, 0.7386183327230562, 0.8077889447236181, 0.7731699126930826, 0.8397540589874147, 0.806557945870923, 0.826631200125176, 0.29517241379310344, 0.7236916150815982, 0.5140441387216967, 0.7779839208410637, 0.6686742508736709, 0.6577485603628396, 0.8005689900426742, 0.5999005346263832, 0.7201702595084444, 0.6921699178444886, 0.5211820624095888, 0.3471050750536097, 0.6264964330547136, 0.18914916532040926, 0.3878058427982144, 0.31853219849044484, 0.32972972972972975, 0.6782770539750066, 0.5228043241860167, 0.6812185502515979, 0.6214960058097313, 0.66999238385377, 0.7852646421916705, 0.706790670209625)"
7,0.55,0.6321948498956453,0.7577206746341025,"(0, 0, 1.0, 1.0, 1.0, 1.0, 0.9892141756548536, 0.9935004642525533, 0.9922434367541766, 0.9995594713656387, 0.7949391262831225, 0.9795163584637269, 1.0, 1.0, 0.9992195629552549, 0.9578503688092729, 0.9985920610409664, 0.9989683953859139, 0.9468772659919922, 0.9916057040757846, 0.9982404692082112, 0.9720526823000322, 0.9934593023255814, 0.9902247827729506, 0.9837881653607133, 0.998992950654582, 1.0, 0.9911369616396621, 0.8657526421022566, 0.9988909426987062, 0.9975856443719413, 0.9966273187183811, 0.9904361686712071, 0.9612080536912752, 0.9965482946235301, 0.9953934740882917, 0.9946745562130177, 0.9975374512620562, 0.9955908289241623, 0.9991742361684558, 0.998330550918197, 1.0, 1.0, 0.9947173798203909, 0.9994066455696202, 0.998952331063384, 0.9917098445595854, 0.9975032695279991, 0.992019998077108, 0.996030837340661, 0.9918124302195758, 1.0, 0.9915893896916109, 0.9991536182818451, 0.9988034699371822, 0.9967984934086629, 0.9994585814834868, 1.0, 1.0, 1.0, 0.996067006554989, 0.9978076923076923, 0.9949341996586091, 0.9959494171112429, 0.9985635132361995)","(0.0, 0.0, 0.5691382765531062, 0.47619047619047616, 0.677257525083612, 0.6710875331564987, 0.6033834586466166, 0.7278911564625851, 0.8072815533980583, 0.759625041848008, 0.759926973984482, 0.8007721648525444, 0.5564639754726622, 0.7576735335484405, 0.7135426342188371, 0.7630106323447118, 0.7404526166902404, 0.7903836165318691, 0.7681526381748894, 0.6555674422751181, 0.676255562619199, 0.696058886673823, 0.8167463298053943, 0.8170270796804987, 0.6060757386600083, 0.698345652939106, 0.6571571571571572, 0.41432210258191504, 0.445031751275557, 0.5141769743101808, 0.7092553931802366, 0.787475016655563, 0.6130319745280057, 0.6678168423015947, 0.6176438594582835, 0.46821957385337665, 0.786616752456715, 0.7233630952380953, 0.8629024553358173, 0.7234678624813154, 0.770949720670391, 0.7037037037037037, 0.47362869198312235, 0.7679445350734094, 0.492783304076458, 0.7940870289402456, 0.8073678290213723, 0.8230331567588778, 0.6444319530322903, 0.5472655594698876, 0.7043742566406767, 0.4120307553143374, 0.6086035737921907, 0.5330430575713595, 0.4081408140814081, 0.4030305337698926, 0.8070298155110606, 0.3671903544026306, 0.5015621244893055, 0.6410670494646808, 0.5663643516792977, 0.6836640577647772, 0.5015405112832043, 0.7952824234774377, 0.777688988333067)"
8,0.6,0.6008963983178461,0.7280120413805943,"(0, 0, 1.0, 1.0, 0.3990740740740741, 1.0, 0.9837775202780996, 0.9569336778639104, 0.8260869565217391, 0.998848810437452, 0.9994510019214933, 0.996217542424862, 1.0, 0.9970014992503748, 1.0, 0.9994778067885117, 0.9985249287048874, 0.9989846922836614, 0.9974482313603567, 0.9715875558553242, 0.9965817666430448, 0.9987210913353938, 0.9998232695139911, 0.9987077320697825, 0.9835458930813454, 0.9995079950799508, 1.0, 0.9976067012365377, 0.9757803393342831, 0.9884660793751703, 0.9998536513976292, 0.9891133173570695, 0.999340804218853, 0.9998103006734326, 0.9994743988436775, 0.9958523434259643, 0.9997270742358079, 0.9971083517605035, 0.8978963571062083, 0.9819667077681874, 1.0, 1.0, 1.0, 0.9978331527627302, 0.9983402489626556, 0.7747602715755582, 0.9983427049422906, 0.9983214254971163, 0.9982388728786423, 0.9912203687445127, 1.0, 0.9996552120445926, 1.0, 0.9986362907107332, 0.9978448275862069, 0.9747186429619964, 1.0, 1.0, 1.0, 0.99560546875, 0.9996939556235654, 0.9992962702322308, 0.9945020496744634, 0.9997665732959851, 0.9968062090044301)","(0.0, 0.0, 0.19673202614379084, 0.6593625498007968, 0.6896, 0.5917375455650061, 0.7460456942003515, 0.6913503422526447, 0.751412429378531, 0.8144555694618273, 0.7617154811715481, 0.3980800653594771, 0.7000414593698175, 0.7834590009425071, 0.7066971884721489, 0.75622283682339, 0.6315854948062449, 0.6708625075394016, 0.7844209166609001, 0.7797550578523581, 0.6722625274169057, 0.7497999679948791, 0.5195934361988733, 0.6339029391660971, 0.7317600786627335, 0.44682722973716044, 0.6427570093457944, 0.5375026864388567, 0.8104561101549054, 0.7007919644581804, 0.574793875147232, 0.8525731822474032, 0.49043632981519675, 0.7200874406530724, 0.8296611401977894, 0.7468118195956455, 0.7858828577558464, 0.7967921707217616, 0.3825136612021858, 0.8526498929336188, 0.220703125, 0.4388888888888889, 0.6700946784198498, 0.6911819887429643, 0.6606260296540363, 0.7054811982154239, 0.7197047277692439, 0.8251511917467094, 0.3582715623743033, 0.7690735694822888, 0.3305921052631579, 0.5169995244888255, 0.5771463119709794, 0.4498283649503162, 0.41330060254407497, 0.43547329301173215, 0.2921557667225638, 0.506315987933635, 0.7627351996328591, 0.6759489474556606, 0.7459465631422699, 0.7050145400383006, 0.5717573337769645, 0.36726119019036185, 0.7822243781496753)"
9,0.65,0.6000980512911873,0.7274138919810511,"(0, 0, 0.9801136363636364, 1.0, 1.0, 0.9890909090909091, 0.9956011730205279, 1.0, 0.9994772608468374, 0.9990600031333229, 0.998727411555103, 0.9925796145522003, 1.0, 1.0, 1.0, 0.999820938283395, 0.9987818341010316, 0.9926460932370321, 0.9976333966262143, 0.9969632807711595, 0.9692008595108974, 0.9973745291275066, 0.9975645756457565, 0.9813231169186564, 0.9993872549019608, 1.0, 0.9959693147835132, 0.9683200713913884, 0.996384026831569, 0.9927414852037968, 0.996690031152648, 0.9778971676327819, 0.9968126385809313, 0.9998675672096411, 0.99845700659279, 1.0, 1.0, 0.9995552260934025, 0.9946383218888157, 0.9952889924522568, 1.0, 1.0, 1.0, 0.996715157203191, 0.9992751872432954, 0.9997973862830514, 0.9970861662272791, 0.9996753246753247, 0.9988713318284425, 0.9909226392087793, 0.9986238532110092, 0.9962632940500143, 0.9965907329924066, 0.9995750106247344, 0.9738705738705739, 0.9993664202745512, 1.0, 1.0, 1.0, 1.0, 0.9998555226468251, 0.9938362705095929, 0.9989814395654142, 0.9985123966942149)","(0.0, 0.0, 0.7069672131147541, 0.4993197278911565, 0.7105263157894737, 0.20866896816263905, 0.1859764448096412, 0.648868253047011, 0.7884536082474227, 0.6025132275132276, 0.7417769376181474, 0.8210571184995737, 0.6911981159846924, 0.7309954258331518, 0.6927929436721934, 0.6851124744376278, 0.7431735780648085, 0.6532146560663671, 0.780540843129656, 0.8177933177933178, 0.7334107626790554, 0.733674811767011, 0.4223930502171807, 0.7234579109295405, 0.3240611961057024, 0.593129847889594, 0.5517142033995966, 0.6392243495336278, 0.717905150279414, 0.42838212263582703, 0.5834283109186232, 0.6676963670882002, 0.7884467828565165, 0.2996388458943525, 0.8705968688845401, 0.7670878805284319, 0.680111821086262, 0.8115069812229176, 0.47406411118583275, 0.8107617397045473, 0.39139486467730744, 0.6767497034400949, 0.6038870893105044, 0.7450017537706068, 0.6970003370407819, 0.5848296296296296, 0.8311357853342586, 0.39212939378502293, 0.7078867381219005, 0.7510011294794127, 0.44849608570251337, 0.574031136137794, 0.465559054548087, 0.2989703826109063, 0.4066897817662656, 0.3522668056279312, 0.616627863818875, 0.7474806770374719, 0.7083781265677632, 0.6573358078152387, 0.48044014023395465, 0.8097326354505587, 0.6686108165429481, 0.5719560689263397)"
