,Threshold,UOI,F1,precision,recall
0,0.2,0.4946444144695306,0.6214137221855072,"(1.0, 0.005916717994661889, 0.008076908177627417, 0.3364750235626767, 0.9707724425887265, 0.5223171889838556, 0.5244498777506112, 0.799913569576491, 0.9170068027210885, 0.6902129064202014, 0.7438040139990001, 0.5713094760243308, 0.9182126696832579, 0.8328931572629051, 0.8791460160121998, 0.9685252793450603, 0.9655207314193178, 0.24602544045737126, 0.3834040359271688, 0.9924327113251354, 0.9201742847747452, 0.9849707484365544, 0.16444923770773076, 0.14696569920844327, 0.828135593220339, 0.9983505154639175, 0.09952896417410209, 0.8888269195017662, 0.28074534161490683, 0.7634756995581737, 0.33065391262409066, 0.9972781474120799, 0.864292424630626, 0.26434227537168714, 0.2036977788119407, 0.6248858447488584, 0.8479244009449882, 0.997974261201144, 0.7354811360746079, 0.5568221472606724, 0.025341370402263502, 1.0, 0.04227572370306678, 0.9989612188365651, 0.9864010120177104, 0.13470180978987004, 0.1848791644005634, 0.9992257814768218, 0.18621754500020316, 0.2535570924215312, 0.9880879657910813, 0.2093199595594104, 0.20876065414732173, 0.8807872237457655, 0.9955705547352879, 0.9833803901437371, 0.8914373692313766, 0.7649107531562909, 0.9047526673132881, 0.7785703521374391, 0.9514980896842952, 0.9745801043331423, 0.9684406161764181, 0.8353736778220912)","(0.41025641025641024, 0.7220956719817767, 0.834, 0.7484276729559748, 0.6858407079646017, 0.6124721603563474, 0.56791104050834, 0.6944288126055149, 0.8017446471054719, 0.7695280154568037, 0.624565191315821, 0.8352744673167208, 0.7757071865443425, 0.7348019487396737, 0.7496749024707412, 0.6919185931634064, 0.7720675515269235, 0.8988538767693091, 0.9060749861057672, 0.8027404882798915, 0.8162922987164527, 0.7835192168819707, 0.5290499621498864, 0.9507823613086771, 0.37973109504935104, 0.7043933663078266, 0.9188793644156387, 0.6664343462503485, 0.8102294455066922, 0.7340696686491079, 0.8897901795370972, 0.7996605002424998, 0.6974019709186134, 0.8415434083601286, 0.9301810776110152, 0.7531645569620253, 0.7951639448031397, 0.6215443986789863, 0.7881586917019988, 0.6123049373241238, 0.9028487947406866, 0.7389558232931727, 0.9348121321865097, 0.6562037984760605, 0.7652109911678115, 0.9472155790912197, 0.9561156786383961, 0.486867543735559, 0.9339242956849559, 0.9164132144729943, 0.7248487564418552, 0.8310885755030898, 0.8298385153048927, 0.7491767288693744, 0.758159856078129, 0.7794222357847624, 0.8143459915611815, 0.6600920447074293, 0.649265678290527, 0.780766712004433, 0.7763667388593555, 0.783629133934633, 0.6540661887175031, 0.7957713908159895)"
1,0.25,0.49070687001421986,0.6184485168809047,"(0, 0, 0.3617021276595745, 0.008250217875472064, 0.9975786924939467, 0.9539078156312625, 0.02476244415077717, 0.5500100623867982, 0.4729941056177072, 0.7663185378590078, 0.8987815176740258, 0.9949278189621538, 0.9970760233918129, 0.8851386984495306, 0.9989179440937782, 0.8861109441673177, 0.869683257918552, 0.35905411163187045, 0.3713691157819561, 0.40214914744126407, 0.32120216663129436, 0.33317413218437525, 0.9988460428887393, 0.8947228734462777, 0.9260798505720289, 0.62720156555773, 0.6573072725468797, 0.12547812215913964, 0.9931833674164963, 0.9165829818571333, 0.9040453390658589, 0.2988583664202632, 0.9870766248451888, 0.9810943060498221, 0.3034294667208263, 0.8730300859598854, 0.6806834082038442, 0.8163721110895319, 0.9873737373737373, 0.8587349022537667, 0.9980360649883949, 1.0, 0.4349807220469681, 0.8111405835543767, 0.942364824717766, 0.08638228399196249, 0.24989255234235894, 0.24642183807323614, 0.9129696243005595, 0.9815130830489193, 0.9027662818558049, 0.20839776593228665, 0.8215174628663188, 0.23725391216557296, 0.1738222029709277, 0.5049973875377122, 0.9840236868889368, 0.9950704225352113, 0.930898321816387, 0.9997232982844494, 0.18436459069344907, 0.998272221155692, 0.38085158348937553, 0.9074365125320539, 0.9814728054857532)","(0.0, 0.0, 0.5402542372881356, 0.8554216867469879, 0.7477313974591652, 0.22505910165484633, 0.8215031315240083, 0.6693607641440118, 0.686932215234102, 0.5816920599529295, 0.6280559770696341, 0.8285946385052803, 0.8375634517766497, 0.7544048903272205, 0.7465965763579997, 0.7455501618122977, 0.5682817755109584, 0.8255087796635074, 0.8675641468185479, 0.8216520515318827, 0.8369157530294288, 0.7937972109238814, 0.8384727155311592, 0.6798077569402433, 0.8293396897085268, 0.6306985897015415, 0.6036996537269911, 0.9245497630331754, 0.4267185473411154, 0.649632265717675, 0.4790307548928239, 0.8957365841073271, 0.7906746031746031, 0.8024376932872476, 0.8800807876798789, 0.8227848101265823, 0.7986003110419907, 0.48257849721600365, 0.5711819389110225, 0.7894345238095238, 0.8345774858166617, 0.6894366197183098, 0.684878587196468, 0.6536981616075246, 0.5047740292807129, 0.9392353208921256, 0.8452751817237798, 0.8993119488322512, 0.5420300172035356, 0.8051045166106756, 0.7881865206146357, 0.803183284251858, 0.5053588185904084, 0.8716617210682492, 0.9320945484355786, 0.8660538790611632, 0.8512085801184569, 0.7263847834468578, 0.7621228448275862, 0.6973557228334298, 0.8408138839018552, 0.7804292360798439, 0.819530995820507, 0.8163417175174877, 0.7019403576106491)"
2,0.3,0.6167723065017995,0.73647677444378,"(0, 0.0, 1.0, 0.4896551724137931, 1.0, 1.0, 0.5758426966292135, 0.996316758747698, 0.9925271739130435, 0.996701030927835, 0.9986112488840393, 0.9877600979192166, 0.996603856266433, 0.9146890592673725, 0.9423347398030942, 0.999789798206278, 0.9913604766633565, 0.9794033204344027, 0.973458904109589, 0.99173522386928, 0.48545088371123996, 0.9850168470858126, 0.9903405696076478, 0.9383980112080226, 0.9856656697947819, 0.6694863307588574, 0.0728917432733073, 0.7309424809424809, 0.9028005170185265, 0.9972586049345111, 0.9479034307496823, 0.38849055594199794, 0.9938931297709923, 0.9985809409453117, 0.25612789387529494, 0.9938250813966543, 0.7856650585802895, 0.9966436695879172, 0.99054759958779, 0.9992011184341921, 0.8728667606074839, 0.4812542603953647, 0.9979865771812081, 0.6979638009049773, 0.9673213401551412, 0.9997293640054127, 0.8735807093526864, 0.97, 0.9941341705221415, 0.9978832778953735, 0.9878825539847755, 1.0, 0.9981684981684982, 0.2943122442880257, 0.8870647566929556, 0.9607867430695369, 0.9856312731114633, 0.6613269834397663, 0.7864532673092227, 0.9995236961181234, 0.9948969578017665, 0.98117123795404, 0.9036638567258176, 0.9937569516701948, 0.9940467547553361)","(0.0, 0.0, 0.3675889328063241, 0.46679815910585143, 0.4765217391304348, 0.6679636835278858, 0.8023483365949119, 0.7405886379192334, 0.7265042267528593, 0.8285910181693521, 0.7847676956657312, 0.8098924731182796, 0.6931047619047619, 0.6371651407256698, 0.7619408642911296, 0.6777334473259238, 0.6857633522239396, 0.7653887425617013, 0.7400031240237426, 0.5757835886599754, 0.7299759816207184, 0.6897590361445783, 0.8390280941533789, 0.8298308368730904, 0.38962944845297787, 0.6443657817109144, 0.8821437642875286, 0.7332290580465763, 0.39780536887268864, 0.5718777292576419, 0.7507188039102932, 0.8271953060468825, 0.8095896089539865, 0.8458622283865003, 0.9004484304932735, 0.7207295228790099, 0.81467365412101, 0.8272713202290667, 0.886271143329518, 0.7844151771715271, 0.3707028392845269, 0.45993485342019547, 0.7986036519871106, 0.7595404185473943, 0.5788641975308642, 0.7752360965372508, 0.7207494326138394, 0.8357718819092209, 0.775522041763341, 0.8455034588777863, 0.8109934957275857, 0.661927022464615, 0.8044820182501342, 0.9103311976028816, 0.6890027920156686, 0.8121645327677847, 0.8080554352533564, 0.33613907685536665, 0.7298539307401937, 0.7681185944363104, 0.6480439785221171, 0.7183912724904339, 0.7465517708587378, 0.7238207238991246, 0.7577619126681056)"
3,0.35,0.6595136799752752,0.7774934972363718,"(0.0, 1.0, 0.2590216519647153, 1.0, 0.9698375870069605, 1.0, 0.4112612612612613, 0.9549002601908065, 0.9982500486097609, 0.9959333062220415, 0.9799084435401831, 0.9944736842105263, 0.96359918200409, 0.9981964778272863, 0.9993844259772238, 0.8125198938992042, 0.9924910048495593, 0.9934550147492626, 0.9876412740349332, 0.9143325271124289, 0.9979479425423912, 0.8960763914691239, 0.9926187419768935, 0.9865348898912178, 0.9271677889240072, 0.7675519630484988, 0.8403155603917302, 0.993282498184459, 0.9952099182868414, 0.9900450020455476, 0.9289457564826789, 0.9657720731232984, 0.99699604743083, 0.9989366729678639, 0.28344240377172614, 0.9180967238689548, 0.9304586241276172, 0.9701518589631698, 0.9596334531956849, 0.977641056422569, 0.3419262441818833, 0.5227806481916393, 0.8417030567685589, 1.0, 0.985032362459547, 0.7771531820919494, 0.8081528662420382, 0.993225576420252, 0.8273057622426025, 0.9951287404314544, 0.9901671583087512, 0.9995376791493297, 0.9993847100446085, 0.9991947389612132, 0.9932329393823865, 0.8424389480275517, 0.9985715332210094, 1.0, 1.0, 0.7984274481772695, 0.9984875644185526, 0.9711135000173389, 0.9153114452285978, 0.9380906058921623, 0.903041991759446)","(0.0, 0.4513715710723192, 0.20665387076135636, 0.74, 0.6645468998410174, 0.6257668711656442, 0.5473621103117506, 0.6933249370277078, 0.7764670296430732, 0.7720680958385876, 0.814932318104907, 0.7961488223149201, 0.7486495074674293, 0.7521183053557154, 0.5816911501254031, 0.6858319899695504, 0.6041071541928521, 0.8312379483224065, 0.7949717634271402, 0.7821009076348104, 0.7666141209657347, 0.6375099127676447, 0.8391209983722192, 0.6498448901122909, 0.6248090012501737, 0.748536036036036, 0.7389952153110048, 0.5920034626413461, 0.7420947578527156, 0.475068708284256, 0.5910193123755088, 0.8636521739130435, 0.7869711718457506, 0.8412935323383085, 0.8557467601444657, 0.748013981569749, 0.8181021257944335, 0.7832581736189402, 0.8681918354496799, 0.5961204135785525, 0.21773825809393524, 0.7004405286343612, 0.7835365853658537, 0.6918714555765595, 0.673582295988935, 0.7591684644047852, 0.8308014667365112, 0.8663694795770267, 0.8458952583156405, 0.8333333333333334, 0.7848791893998441, 0.798522622345337, 0.8014061921795979, 0.7848408180476492, 0.793165125394832, 0.7853338197738052, 0.8344964799510254, 0.5030485258498287, 0.5945779420825632, 0.7649375107002225, 0.6920986216268685, 0.679972804972805, 0.7558915448939945, 0.7526270312456449, 0.8293880837359098)"
4,0.4,0.6684800129775265,0.7890888207802611,"(0.0, 0.2770935960591133, 0.9551820728291317, 0.9943661971830986, 0.5626566416040101, 1.0, 0.9953650057937428, 0.9966329966329966, 0.9360257326661902, 0.9996021747778809, 0.9972538903220438, 0.7877422262280307, 0.999498997995992, 0.9665505226480836, 0.9278899871078642, 0.9971454670015986, 0.9944380585116245, 0.9985218033998522, 0.9937354455705336, 0.9984111852557992, 0.9516817359855334, 0.9985163204747775, 0.9985700667302193, 0.9878591663294213, 0.9866165766611881, 0.9985119047619048, 0.9167591564927858, 0.9549211119459053, 0.9979286169534736, 0.9947889065536124, 0.9993684875276286, 0.906285514468048, 0.9949778004221559, 0.9564747228980806, 0.9962718411714504, 0.7593522267206477, 0.9912166558230319, 0.9993766557581424, 0.9807692307692307, 0.9919129539773562, 1.0, 1.0, 1.0, 0.9990627928772259, 0.9990539262062441, 0.9992754206585621, 0.7745211466769507, 0.9961148883030387, 0.9994624619243863, 0.9026468931856579, 0.9449137311286844, 1.0, 0.994511776812257, 0.997758761206194, 0.9862192165369401, 0.987150628399925, 0.9992527709743037, 1.0, 0.8685528292438658, 0.9966937594710015, 0.9960435720891995, 0.9917774845193381, 0.9670096021947874, 0.9984509056244042)","(0.0, 0.5357142857142857, 0.6847389558232931, 0.7447257383966245, 0.6907692307692308, 0.6374269005847953, 0.7158333333333333, 0.6911850554582604, 0.7388912399492171, 0.7297899118985381, 0.7761155365585131, 0.8665262114264469, 0.5960561697042127, 0.7166371420135813, 0.6089114495205866, 0.7237692690203879, 0.7756760665220535, 0.7614055851438555, 0.6538901478364088, 0.7228472174293142, 0.6936602082509555, 0.6390192135835567, 0.7850117096018735, 0.7658039215686274, 0.7610940047092918, 0.6296527994995308, 0.7244025433019075, 0.7618762175932864, 0.469983490920006, 0.6896277247122214, 0.7419127988748242, 0.6493172992609295, 0.5082729131808886, 0.805463858850313, 0.874743650418047, 0.4597058823529412, 0.8197471078827011, 0.7907521578298397, 0.8482688391038696, 0.8188880796309784, 0.47400405131667794, 0.39956114103331336, 0.737758945386064, 0.7587188612099645, 0.54871395167576, 0.7480262761405412, 0.7145398481973435, 0.8675528700906344, 0.6109194458134822, 0.8404824331410593, 0.677033030712768, 0.6293444909344491, 0.8085145937906674, 0.5794580523015028, 0.808388243907541, 0.7785339152304165, 0.7873286887122625, 0.6869556611243072, 0.7605788204341153, 0.7639108858621054, 0.6855879752431476, 0.46246331534601914, 0.7312380063274726, 0.7726853559572113)"
5,0.45,0.6422402905022505,0.7630322438260978,"(0, 0, 0.2600216684723727, 0.9972677595628415, 0.9947643979057592, 0.9937759336099585, 0.9966101694915255, 0.8056169138529504, 0.999030303030303, 0.9251328540168803, 0.9955397987191217, 0.9966562639322336, 0.9988250844470554, 0.9987728388328334, 0.9997276688453159, 0.9977451144145649, 0.8990171211160431, 0.9936623667975323, 0.9967475897316761, 0.9979986144253714, 0.9939579791110031, 0.9994621246077992, 0.9851489891731341, 0.9185985836749907, 0.9874075930334545, 0.9994366197183099, 0.9987575067301718, 0.9964997307485192, 0.9997901510912143, 0.9877343613106712, 0.9976911976911977, 0.9064878111698698, 0.9967501540875218, 0.9930044182621502, 0.9967785690064429, 0.999845987987063, 0.8072223434431595, 1.0, 0.994183841193577, 0.8136159094208157, 0.9875740499927756, 0.7982978723404255, 0.9926793557833089, 1.0, 0.9979201331114809, 1.0, 1.0, 0.991358024691358, 0.9991935483870967, 0.9974646867077146, 0.8871971185330714, 0.9771610291991906, 0.9079765193370166, 0.2510781072679726, 0.9960562168363688, 0.9989850291804111, 0.9890402843601895, 0.9890605770545604, 0.6668331668331668, 1.0, 0.9998014165618587, 0.9976092045624346, 0.9345770936166653, 0.9988983833030637, 0.9961049078161517)","(0.0, 0.0, 0.5251641137855579, 0.6952380952380952, 0.7407407407407407, 0.6931982633863966, 0.6426229508196721, 0.6674509803921569, 0.7665550595238095, 0.7695007800312013, 0.7821203953279425, 0.7854884047786367, 0.6350140056022409, 0.688763516690174, 0.7643139704351447, 0.6421046974094378, 0.6618041778503909, 0.4717739788038558, 0.7682872235652252, 0.8341375538827768, 0.7629935207197128, 0.8074304750869061, 0.8279916250603963, 0.7853296370646529, 0.7218558211962993, 0.45733436452693993, 0.4625047947832758, 0.7545361875637105, 0.6539024613413853, 0.6977348681767546, 0.5785774058577405, 0.7336116910229645, 0.6565175671685858, 0.8222560975609756, 0.5132032648072978, 0.5981205085682698, 0.6701992753623188, 0.8033088235294118, 0.8599081364829396, 0.5816728933167289, 0.6078797580932053, 0.6743350107836089, 0.789289871944121, 0.7652833556448014, 0.8023411371237458, 0.4631638145737929, 0.32550782550782553, 0.4522828880205583, 0.5638652912621359, 0.8260347930413917, 0.5818747986685279, 0.7413906558455802, 0.8164881229622729, 0.8604910714285714, 0.648324465602539, 0.7389264264264265, 0.7692957530143614, 0.8226797088262057, 0.753811405985319, 0.7598697598697599, 0.7408279380027467, 0.6435020080321285, 0.8188682011435273, 0.8115626511852927, 0.6251425963951631)"
6,0.5,0.6499248676816577,0.7682193752686997,"(0, 0, 0.9963768115942029, 0.991869918699187, 0.9924242424242424, 1.0, 0.24969249692496925, 0.9973392461197339, 0.9941944847605225, 0.9970203608674061, 0.9984155487482835, 0.9920769282860432, 0.992274678111588, 0.9995076923076923, 0.9975055432372506, 0.9986600306278713, 0.9962943901183736, 0.9873022705262026, 0.943971081848696, 0.9979135712705086, 0.9715492714889215, 0.9532835535133065, 0.9907647800608264, 0.9974434239181895, 0.9886446504844255, 1.0, 0.9836065573770492, 0.9997482376636455, 0.9931682322801024, 0.9694301169958486, 0.9850418827283606, 0.9988019169329073, 0.9966874952947377, 0.9979273785324245, 0.9984298126243065, 0.9989843132829251, 0.9925903056498919, 0.9963219385547382, 0.9923749374205723, 0.8709016393442623, 0.9924025324891703, 0.4075327972915785, 1.0, 1.0, 1.0, 0.9991031390134529, 0.9922818127844845, 0.9952841311011554, 0.9985074626865672, 0.9976685036032217, 0.9914741474147415, 0.9991483321504613, 1.0, 0.9977915536613715, 0.9996527777777777, 0.9870011947431302, 0.9173984536262814, 1.0, 1.0, 0.9992350841407445, 0.937386386588568, 0.996143566246659, 0.9984420979747274, 0.956307234819045, 0.9892412231030577)","(0.0, 0.0, 0.5876068376068376, 0.49193548387096775, 0.7250922509225092, 0.6703296703296703, 0.21014492753623187, 0.550012227928589, 0.7139134966128192, 0.7290002420721375, 0.7823855641089313, 0.7715805551166588, 0.8194222931065036, 0.7212896349586997, 0.7200880352140856, 0.7762237762237763, 0.6986429911938791, 0.666739335804084, 0.512001792566451, 0.6874646108279977, 0.8357932210932285, 0.7310770134351369, 0.7244596317088384, 0.7210130047912389, 0.38163027305264, 0.6561844863731656, 0.6350067842605156, 0.7475527108433735, 0.42899299151604575, 0.7741611412497489, 0.751979293544458, 0.6299549762287082, 0.5941833849468157, 0.75281135365927, 0.7830870279146142, 0.5402172586354205, 0.8077889447236181, 0.7731699126930826, 0.8252153585038589, 0.8110687022900763, 0.7766651019663068, 0.44275862068965516, 0.7236916150815982, 0.5808254514187446, 0.7779839208410637, 0.7454829355342405, 0.7665494572695306, 0.8005689900426742, 0.7486012681835136, 0.64629960181244, 0.8421913327882257, 0.4848797961011228, 0.6072909220872051, 0.7884939224151128, 0.775175013462574, 0.5835169802791433, 0.7018360901450672, 0.29027027027027025, 0.6852787379243109, 0.7520629437727884, 0.6311709506323949, 0.7578503994190269, 0.7321655242447321, 0.7125950546406808, 0.7736935341009743)"
7,0.55,0.6584169887042979,0.7781682731486369,"(0.0, 0, 1.0, 1.0, 1.0, 1.0, 0.9892141756548536, 0.9935004642525533, 0.8455882352941176, 0.9994407158836689, 0.8045358009708737, 0.9797205948625507, 1.0, 1.0, 0.8568736361832969, 0.9692566724869045, 0.9985889823034864, 0.9990753582986592, 0.9483740584236634, 0.992045759227813, 0.9985222194855916, 0.9683407024276299, 0.9933467103178794, 0.9901113075048966, 0.9813972932016513, 0.7230320699708455, 0.8160348042262274, 0.9852345796618243, 0.9157813570939, 0.9964323938637174, 0.9989500944914957, 0.9964011246485474, 0.9901652892561984, 0.9687904967602592, 0.9963866708301735, 0.9966301600673968, 0.92084360449192, 0.9981747661419119, 0.9946651949963208, 0.9991742361684558, 0.998330550918197, 1.0, 1.0, 0.9947173798203909, 0.9988839285714286, 0.9988561624249357, 0.985306680334871, 0.9978401727861771, 0.9913623276253978, 0.9966692287983603, 0.9891733393481448, 1.0, 0.9885435451363106, 0.9988147445774564, 0.8727211796246649, 0.998054979253112, 0.9956392467789891, 1.0, 1.0, 1.0, 0.9964332892998679, 0.9980780902286062, 0.9420025117022491, 0.9958346032713603, 0.9979698685757026)","(0.0, 0.0, 0.5691382765531062, 0.7142857142857143, 0.677257525083612, 0.4473916887709991, 0.6033834586466166, 0.7278911564625851, 0.7815533980582524, 0.5982591228657516, 0.8068614027080481, 0.8090054888826868, 0.4306762050757963, 0.6543393728799537, 0.5349557248126819, 0.7248181309457191, 0.5720010776587863, 0.8017362914595236, 0.7921430215606537, 0.7421770526878845, 0.7517217630853994, 0.5933394673618566, 0.8028337316490269, 0.8075589323982076, 0.7815647107781939, 0.698345652939106, 0.6571571571571572, 0.7184786384161167, 0.7847153397202952, 0.3543292102759277, 0.6621201577360242, 0.7378136797690429, 0.537288667653258, 0.8366128881842768, 0.8098915841763661, 0.6408450704225352, 0.786616752456715, 0.6510416666666666, 0.6887678736345976, 0.7234678624813154, 0.770949720670391, 0.7037037037037037, 0.7580872011251758, 0.7679445350734094, 0.7855471035693388, 0.7272537997085156, 0.8108830146231721, 0.6344908769864627, 0.8171881831241021, 0.6525750712967623, 0.772741288930003, 0.6505136654390385, 0.8223251709684536, 0.8153846153846154, 0.5305382390090861, 0.7814411533287647, 0.8783771968173472, 0.39258312020460356, 0.7192982456140351, 0.5055326275494946, 0.6247566985546859, 0.7800616649537513, 0.6870680323091015, 0.7732723256547807, 0.4975760481593948)"
8,0.6,0.6498122915687033,0.7680361354742886,"(0, 0, 1.0, 1.0, 0.3990740740740741, 1.0, 0.9837775202780996, 0.9569336778639104, 0.7281307226369911, 0.998848810437452, 0.9994731758714549, 0.9962260353243093, 1.0, 0.9968772769855314, 1.0, 0.9996716359098969, 0.9989696032972695, 0.9988777037137805, 0.9981028391992673, 0.9695509441917899, 0.9962864721485412, 0.9988058275614998, 0.9998232695139911, 0.9931069551952088, 0.989983305509182, 0.9996580027359782, 1.0, 0.9972516986029468, 0.9757803393342831, 0.913151364764268, 0.9998284243637403, 0.9887699968216972, 0.9519285941982786, 0.9997560380580629, 0.999491158885638, 0.9958523434259643, 0.9997270742358079, 0.997139812685772, 0.8616922361692236, 0.9815126935636785, 1.0, 1.0, 1.0, 0.9980440097799511, 0.998501872659176, 0.8745122044532864, 0.9991985803423207, 0.9982882724719101, 0.9985359902399349, 0.9918204126147414, 0.9862478777589134, 0.9951261024292124, 0.9725384615384616, 0.9990333271957282, 0.9936815764779481, 0.9930253184970166, 0.9902732746641963, 1.0, 1.0, 0.9966675923354624, 0.9437506614456557, 0.9993133215617029, 0.9958342468756851, 0.9995386981035367, 0.9969964150760585)","(0.0, 0.0, 0.5901960784313726, 0.4395750332005312, 0.6896, 0.5917375455650061, 0.7460456942003515, 0.6913503422526447, 0.7685102586975915, 0.8144555694618273, 0.7937935843793584, 0.8087418300653595, 0.6863598673300166, 0.7521991831605404, 0.7055232728766802, 0.6682470696694324, 0.7236424706101885, 0.770225264206855, 0.7038497912485872, 0.7260752870063378, 0.7921376750463979, 0.6692270763322131, 0.5195934361988733, 0.8009569377990431, 0.43731563421828906, 0.6429121302100517, 0.6427570093457944, 0.7018590156888029, 0.8104561101549054, 0.7108363917326637, 0.7354029951203096, 0.826221671388102, 0.6037850297221885, 0.839840147556102, 0.8570026178010471, 0.7468118195956455, 0.7858828577558464, 0.8055819854107199, 0.2700910746812386, 0.8313258386866524, 0.220703125, 0.29259259259259257, 0.5762324518445968, 0.7658536585365854, 0.7320153761669412, 0.7284257488846398, 0.7447943335040109, 0.8091426538598363, 0.7054530828018157, 0.8259915228580079, 0.636951754385965, 0.7645625297194484, 0.5095929060862555, 0.7842095754290876, 0.5907907461132188, 0.5982899754669776, 0.8631140922924042, 0.506315987933635, 0.5837540156034878, 0.5948947455660534, 0.6788079470198676, 0.7225335130151075, 0.755614706371652, 0.557394386325959, 0.831918505942275)"
9,0.65,0.6438173580491786,0.7647920173950593,"(0, 0.0, 0.9801136363636364, 1.0, 1.0, 0.9890909090909091, 0.9956011730205279, 1.0, 0.9994625582228592, 0.9989031078610603, 0.9988206620017297, 0.9927601809954751, 1.0, 1.0, 1.0, 0.9998145973672826, 0.9988737084373929, 0.993589000888271, 0.9969373331239202, 0.9968650266896376, 0.9402312659558493, 0.9974171813587872, 0.9981516660676696, 0.9821182943603851, 0.999563604625791, 1.0, 0.9961941008563273, 0.9726765441600924, 0.9971054618676063, 0.9953602878515292, 0.9968734673859735, 0.9720663722096216, 0.9966582719876017, 0.9275042444821732, 0.9986642920747997, 1.0, 1.0, 0.9995552260934025, 0.9491864831038799, 0.9955026838821993, 1.0, 1.0, 1.0, 0.9963452836756004, 0.9995365542810798, 0.9997412008281573, 0.9969431544294868, 0.9998407136030583, 0.9989087734613706, 0.9917558754768057, 0.9950834667276469, 0.9972871452420701, 0.995475113122172, 0.9998017446471055, 0.9813853362036217, 0.9993481567320924, 1.0, 1.0, 1.0, 1.0, 0.9987761400521471, 0.992873252142535, 0.9994215938303342, 0.9989462592202318)","(0.0, 0.0, 0.7069672131147541, 0.7489795918367347, 0.7105263157894737, 0.6260069044879172, 0.3719528896192824, 0.4842329270651964, 0.766872852233677, 0.7743764172335601, 0.8005040957781978, 0.8416879795396419, 0.6385045628495731, 0.631815871632905, 0.7678780773739742, 0.6616768916155419, 0.5777815544980739, 0.7410703998156469, 0.819984498126857, 0.8066182183829242, 0.6463801780874951, 0.7458224871945588, 0.6075122652417112, 0.7562414888788016, 0.3033975759984105, 0.6112622141633928, 0.6786949006050129, 0.7444771723122239, 0.5983235160851835, 0.6331767256956993, 0.6177722057594408, 0.7860797374263925, 0.751909094230699, 0.6504345755447077, 0.8230185909980431, 0.7670878805284319, 0.8464456869009584, 0.8115069812229176, 0.5100201748486887, 0.8494676900222827, 0.39139486467730744, 0.6767497034400949, 0.6885701064322073, 0.6693557815971004, 0.726912706437479, 0.6867555555555556, 0.6538283599352301, 0.26647138733231446, 0.7322028475443929, 0.8276003696478078, 0.5976514215080346, 0.7914872474329248, 0.7485430919028486, 0.641032159654252, 0.7903324495207016, 0.3423906300404477, 0.6108580490602963, 0.7484590548869974, 0.737045796602881, 0.7463656047015156, 0.6515325072026102, 0.5189795822134201, 0.39264252890976115, 0.5385343684908162)"
