,Threshold,UOI,F1,precision,recall
0,0.2,0.4224707870319166,0.5441428083042235,"(0.8353413654618473, 0.7648163046393135, 0.8585858585858586, 0.8392384981491274, 0.7946889599213179, 0.7823620422898401, 0.8670661340434975, 0.8697114037545531, 0.762167881495415, 0.8505019942236282, 0.7446068197633959, 0.8041237113402062, 0.8030112923462986, 0.8719760804566459, 0.8669533169533169, 0.8170083523158694, 0.8261096605744125, 0.7291338582677165, 0.8170871559633027, 0.8612099644128114, 0.8047016274864376, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6142857142857143, 0.8585979628520072, 0.8625290023201856, 0.8224527150701647, 0.7996894409937888, 0.8301994301994302, 0.8111766747657063, 0.7660452322738386, 0.7967836257309941, 0.9176225234619395, 0.8530781169167098, 0.7198865101882899, 0.0, 0.0, 0.0)","(0.5785813630041725, 0.43890427823945827, 0.4551860202931229, 0.5125968992248062, 0.4607927003136584, 0.6256315084029281, 0.4809207287050714, 0.5222951371361265, 0.512085308056872, 0.5139200531870689, 0.8112206216830933, 0.7652060170045781, 0.794044665012407, 0.6524303437055115, 0.6628158166619705, 0.46539792387543255, 0.6208791208791209, 0.3435355221665739, 0.6427604871447903, 0.8182586644125106, 0.5487053020961775, 0, 0, 0, 0, 0, 0, 0.6672413793103448, 0.7094059405940594, 0.8238227146814404, 0.6801210898082745, 0.7551319648093842, 0.619209519762006, 0.5766099185788305, 0.511791730474732, 0.5275895450145208, 0.8392942298521697, 0.8253253253253253, 0.5334480122324159, 0, 0, 0)"
1,0.25,0.4220743468359894,0.5351516363210733,"(0.8059125964010283, 0.8285714285714286, 0.8179054987565626, 0.8472686733556298, 0.910988336402701, 0.8859661595336272, 0.8385819996558251, 0.7953367875647669, 0.831015093222847, 0.797703822118878, 0.8093774019984628, 0.8445255474452554, 0.8068965517241379, 0.8797773654916512, 0.9083333333333333, 0.7873239436619718, 0.7944070429829104, 0.8064952638700947, 0.5193340494092373, 0.8244341902878488, 0.8602685231228244, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.834186284544524, 0.8748999199359487, 0.8745318352059925, 0.8578255675029869, 0.8007653671370486, 0.8185528756957329, 0.7896162528216705, 0.7940594059405941, 0.8149650664863647, 0.8462671905697446, 0.8008874098724348, 0.0, 0.0, 0.0)","(0.5638489208633094, 0.6944299843831337, 0.2792716293989999, 0.49079754601226994, 0.5707692307692308, 0.6682754182754183, 0.6731592761431137, 0.6986800182066454, 0.6493987049028677, 0.4939704823614111, 0.6643533123028391, 0.8476190476190476, 0.8008711885500933, 0.780190852254031, 0.7478046103183315, 0.47453310696095075, 0.5863914373088684, 0.5251101321585903, 0.18424311708107077, 0.5257110830881323, 0.817966903073286, 0, 0, 0, 0, 0, 0, 0.0, 0.8346134152585766, 0.7884199134199135, 0.7151607963246555, 0.6825095057034221, 0.45831622176591374, 0.5824422442244225, 0.5384852216748769, 0.5111536010197578, 0.5704369774412368, 0.8196955280685062, 0.8044568245125349, 0, 0, 0)"
2,0.3,0.3995036446938388,0.5171347727086351,"(0.838962605548854, 0.793783622235505, 0.7970679012345679, 0.7400424228140466, 0.8250706396095556, 0.7892323369565217, 0.8831533796775625, 0.827807486631016, 0.6934934159566227, 0.8835257082896117, 0.8190140845070423, 0.6756756756756757, 0.655199374511337, 0.8804437140509449, 0.8666330518088995, 0.8926855312333155, 0.8554282596835788, 0.775439465214162, 0.7853783668234288, 0.8342857142857143, 0.8436213991769548, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7376615746180963, 0.8256440982624326, 0.8173743500866552, 0.8203716448726772, 0.7968786947268858, 0.9673076923076923, 0.7481152993348116, 0.829476861167002, 0.8803418803418803, 0.8903225806451613, 0.8204715969989282, 0.0, 0.0, 0.0)","(0.6146707909854175, 0.6133949191685912, 0.3102102102102102, 0.3301787592008412, 0.38361399737250684, 0.5027588445309964, 0.8130446623093682, 0.6640926640926641, 0.7203314828224314, 0.5423510466988728, 0.5100877192982456, 0.847123719464145, 0.525062656641604, 0.7569763334510774, 0.6129089774449497, 0.6949293433083957, 0.5768947755702722, 0.34489593657086226, 0.4974275656647712, 0.7954735959765298, 0.8210947930574098, 0, 0, 0, 0, 0, 0, 0.0, 0.4596375617792422, 0.48072562358276644, 0.647614143494679, 0.7707727125767863, 0.4471868365180467, 0.5862470862470862, 0.5489749430523918, 0.519533711405167, 0.8310393925011865, 0.5575757575757576, 0.7961518460738429, 0, 0, 0)"
3,0.35,0.4301492533244752,0.5425249943005506,"(0.8300233644859814, 0.8856971873129862, 0.7249329758713137, 0.8601587874413569, 0.8688433868289983, 0.7984107068172313, 0.9092373005416484, 0.8049484536082474, 0.8357421668952422, 0.8616157711635098, 0.765983860955928, 0.6073713846941388, 0.7952218430034129, 0.865650309671272, 0.9450261780104712, 0.8410210479175997, 0.8435171385991058, 0.6512879661668589, 0.8565536205316223, 0.8754037840332256, 0.8572117703810902, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7880877742946708, 0.8795083618778964, 0.9141355140186916, 0.8096317280453258, 0.8404657016991819, 0.8368193891102258, 0.8525811601915912, 0.8139069534767384, 0.8610963278339542, 0.8416588124410933, 0.7845868152274837, 0.0, 0.0, 0.0)","(0.7336086732059887, 0.42824074074074076, 0.4479787939032472, 0.48937480751462886, 0.5823442136498517, 0.640389131164039, 0.7151410477835348, 0.6853932584269663, 0.7187443295227727, 0.575968992248062, 0.3441160066926938, 0.5550877192982456, 0.839942321557318, 0.7682875264270613, 0.6382038362945284, 0.7479091995221028, 0.6298219584569733, 0.18274002157497304, 0.5144508670520231, 0.7937238493723849, 0.7571367703451214, 0, 0, 0, 0, 0, 0, 0, 0.7920604914933838, 0.739329268292683, 0.7884130982367759, 0.703248031496063, 0.7052145214521452, 0.6384245187436677, 0.5412162162162162, 0.5082786629178382, 0.6194486983154671, 0.8303114830311483, 0.7875116495806151, 0, 0, 0)"
4,0.4,0.4146340112705431,0.5292042941940563,"(0.8716378162450067, 0.8542825361512792, 0.6670273194482013, 0.9297900262467191, 0.8059244126659857, 0.9331232492997199, 0.8577603143418467, 0.9788676236044657, 0.825812274368231, 0.8232632093933464, 0.8322961021945627, 0.8417865253595761, 0.6249193027759845, 0.9121771217712177, 0.9071865936190783, 0.8476909413854352, 0.8655635987590486, 0.8659594985535197, 0.8179162609542356, 0.8491110043248439, 0.8710439300897497, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7880434782608695, 0.8675188843695526, 0.8603685439916948, 0.8091009988901221, 0.7631920977384975, 0.7942467089224768, 0.9832920792079208, 0.9714104193138501, 0.7336390162567736, 0.8326220957799905, 0.8867206092336982, 0.0, 0.0, 0.0)","(0.6953473550031868, 0.6538952745849298, 0.30995475113122173, 0.4525710635579687, 0.37625178826895567, 0.656080748399803, 0.6535928143712575, 0.7886283327979441, 0.33479692645444564, 0.5371478732742798, 0.6249385145105755, 0.7359364659166115, 0.7533073929961089, 0.6928251121076233, 0.7898428731762065, 0.6997800586510264, 0.6348122866894198, 0.550920245398773, 0.48738033072236725, 0.7480948348856901, 0.5211247703829306, 0.0, 0, 0, 0, 0, 0, 0, 0.8038808038808039, 0.7551846231664138, 0.5575176589303733, 0.7250124316260567, 0.4093127004042939, 0.5938753189938024, 0.3351260149741643, 0.34159964253798036, 0.6145251396648045, 0.8058742542450665, 0.8335570469798658, 0.0, 0, 0)"
5,0.45,0.4213116008560632,0.5310163041592143,"(0.7148626817447497, 0.8231841526045488, 0.8653846153846154, 0.8537874339401057, 0.8196037539103233, 0.8112563956793633, 0.9953198127925117, 0.9198350302874082, 0.72337383845604, 0.9236220472440945, 0.9828431372549019, 0.8299078667611623, 0.7849489160229255, 0.7997107736804049, 0.8783783783783784, 0.86158755484643, 0.8954653068657804, 0.8628875968992248, 0.8130298973672467, 0.8997992639678822, 0.8338258695157991, 0.0, 0.0, 0, 0.0, 0.0, 0.0, 0.0, 0.7363560033585222, 0.8571428571428571, 0.8535469107551488, 0.9818181818181818, 0.8414941948510853, 0.7820987654320988, 0.8538275584206285, 0.5325309043591412, 0.471195184866724, 0.9756361667569031, 0.8769585253456221, 0.0, 0.0, 0.0)","(0.6550703182827535, 0.4702430846605197, 0.7284172661870504, 0.46202732761360027, 0.5525483304042179, 0.6379079123826553, 0.7092829349638688, 0.7107857783089334, 0.5420460632029994, 0.46162927981109797, 0.2807467911318553, 0.751604621309371, 0.7537688442211056, 0.8429878048780488, 0.6656139343477845, 0.7114624505928854, 0.6399843811011323, 0.5512225317239244, 0.5070971333147788, 0.8767726161369194, 0.5225071225071225, 0.0, 0, 0, 0, 0, 0, 0, 0.6766975308641975, 0.7460393662986078, 0.7550607287449392, 0.7005988023952096, 0.7117847993168233, 0.4613983976693372, 0.5479367049332919, 0.18292546653257347, 0.1968390804597701, 0.8790243902439024, 0.8202586206896552, 0.0, 0, 0)"
6,0.5,0.44926488181891394,0.56642215597814,"(0.8896925858951176, 0.8528795811518325, 0.8570717131474104, 0.8553864168618267, 0.9961587708066582, 0.8400229357798165, 0.978058757902566, 0.9404239766081871, 0.7373737373737373, 0.9082708853733, 0.8572433192686357, 0.9809976247030879, 0.6848381601362862, 0.8740157480314961, 0.9427468639433901, 0.8961573062588356, 0.8140243902439024, 0.8845584607794771, 0.7527379949452401, 0.8241965973534972, 0.8363723608445297, 0.0, 0, 0.0, 0, 0.0, 0.0, 0, 0.6754237288135593, 0.7828513444951801, 0.8589669181659896, 0.8913352272727273, 0.8606423516603158, 0.828377673448096, 0.9834176503653738, 0.7321691563223227, 0.8003088008234689, 0.8982912937347437, 0.7403210576015109, 0.5841813135985199, 0, 0.0)","(0.6465177398160316, 0.6861836562763268, 0.7611676249447147, 0.43353115727002967, 0.5617328519855596, 0.6366797044763146, 0.7313681868743048, 0.7243806306306306, 0.7055412371134021, 0.5341984982043748, 0.572300469483568, 0.7522768670309654, 0.7831168831168831, 0.8106007067137809, 0.551354401805869, 0.7714348932404027, 0.4329144710174301, 0.5675846786957898, 0.49515101136048767, 0.8421052631578947, 0.7767379679144385, 0.0, 0, 0, 0, 0, 0, 0, 0.7022026431718061, 0.7278301886792453, 0.7448414695520886, 0.6605263157894737, 0.7295800646054453, 0.5952023988005997, 0.36020177064031295, 0.3729903536977492, 0.546957439324657, 0.7670661803022407, 0.5841156310534943, 0.7221269296740995, 0, 0)"
7,0.55,0.426627260121095,0.5430614873211503,"(0, 0.767478813559322, 0.8530524041058887, 0.8798305982001059, 0.9991319444444444, 0.8171182266009852, 0.8674872122762148, 0.8558890147225368, 0.7956748695003728, 0.9967355821545157, 0.8547008547008547, 0.8132372214941023, 0.797683923705722, 0.9741100323624595, 0.8558968524838833, 0.8506188647033718, 0.9510674475722652, 0.8834103749357987, 0.7151607963246555, 0.7860847018150389, 0.808328884143086, 0.6593959731543624, 0, 0.0, 0, 0.0, 0.0, 0, 0.7433102081268583, 0.9488293051359517, 0.8562605277933745, 0.7749683944374209, 0.8025545502927088, 0.8774560496380558, 0.8859903381642512, 0.637502446662752, 0.8820453224869262, 0.8482654092286965, 0.8490846115784265, 0.5511432009626955, 0.0, 0.0)","(0.0, 0.42592592592592593, 0.7045961624274877, 0.46541584990198825, 0.41582369942196534, 0.5838099428068632, 0.5320588235294118, 0.5685002350728726, 0.7199730094466936, 0.22045728038507822, 0.5904059040590406, 0.7814861460957179, 0.758419689119171, 0.7859007832898173, 0.4435927672955975, 0.6126652320934522, 0.7161758429364063, 0.5657894736842105, 0.17243607495615249, 0.816427289048474, 0.7558662006989516, 0.805327868852459, 0, 0, 0, 0, 0, 0, 0.7403751233958539, 0.7603268270540172, 0.7844650205761317, 0.6681198910081744, 0.7313288069835111, 0.6595413913719393, 0.5724094881398252, 0.3377929890064302, 0.5095669687814703, 0.8449924509310518, 0.7832040164308535, 0.5204545454545455, 0, 0)"
8,0.6,0.46774532867985874,0.5763884942887235,"(0.0, 0.8135405105438401, 0.9118442401297999, 0.7738095238095238, 0.8592450415866922, 0.80868075385494, 0.9867109634551495, 0.910828025477707, 1.0, 0.9427432216905901, 0.8564249820531228, 0.9951259138911455, 0.8449006918098638, 0.8580946035976016, 0.8391953277092797, 0.9301590883448042, 0.8484162895927602, 0.9968553459119497, 0.9913185024416712, 0.8785714285714286, 0.9952352590827874, 0.6727272727272727, 0, 0, 0.0, 0, 0.0, 0.0, 0.69064039408867, 0.8356968215158924, 0.83304246655032, 0.8334417696811971, 0.8921052631578947, 0.9993399339933994, 0.7958352195563604, 0.7684791843670349, 0.524092409240924, 0.8783269961977186, 0.5800593031875463, 0.9387755102040817, 0, 0.0)","(0.0, 0.4432350718065004, 0.7513368983957219, 0.46505228398459, 0.48188015787585214, 0.6477584629460201, 0.7241694605303262, 0.72806229410003, 0.6856594110115237, 0.47227548737615854, 0.6085182351440959, 0.7580445544554455, 0.8126207340631036, 0.8126182965299684, 0.6356040499361054, 0.7894283251939098, 0.7824726134585289, 0.5178046390068605, 0.509765625, 0.8018252933507171, 0.7689829728485964, 0.8398486759142497, 0, 0, 0, 0, 0, 0, 0.766120218579235, 0.7886479003230272, 0.8022408963585435, 0.6756329113924051, 0.7415446744068652, 0.6340033500837521, 0.5600509716470213, 0.5448795180722892, 0.17463983283844717, 0.8473684210526315, 0.28506375227686703, 0.8310749774164409, 0, 0)"
9,0.65,0.4290484779647391,0.5358225627153766,"(0, 0.8262316910785619, 0.9945205479452055, 0.8353211009174312, 0.9855345911949686, 0.8100828729281768, 0.8882306477093207, 0.9871345029239766, 0.9883268482490273, 0.8921121251629727, 0.9944029850746269, 0.988391376451078, 0.8145106091718002, 0.81575682382134, 0.9860745201354911, 0.9116059379217274, 0.8550328227571116, 0.9970484061393152, 0.9956616052060737, 0.8763940520446096, 0.9917853231106243, 0.9061632426429761, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5853658536585366, 0.8599785407725322, 0.9270998415213946, 0.9896983075791023, 0.9957507082152974, 0.8083867210250437, 0.8397655105031754, 0.8678606001936109, 0.7694866920152091, 0.8334879406307978, 0.8595353862776878, 0.5151111111111111, 0, 0, 0)","(0, 0.6149653121902874, 0.21425409473218238, 0.17074542897327707, 0.5211173927502494, 0.5253022839229736, 0.669943401846887, 0.5685415964971371, 0.3312837711943358, 0.6512015227218654, 0.17542993499547438, 0.8175582990397805, 0.7633098139833226, 0.81122763726095, 0.7774480712166172, 0.7902895583503948, 0.6900662251655629, 0.4050359712230216, 0.5201133144475921, 0.6740528949249464, 0.7755888650963597, 0.7935813274981766, 0, 0, 0, 0, 0, 0, 0.7439353099730458, 0.76772030651341, 0.7711864406779662, 0.6772406847935549, 0.6922698178237322, 0.6093064091308165, 0.5854904632152589, 0.5407117008443908, 0.5325657894736842, 0.8602202010531355, 0.8260643821391485, 0.2473324797268459, 0, 0, 0)"
