,Threshold,UOI,F1,precision,recall
0,0.2,0.21529850242243564,0.3354795071774254,"(0.2797283629533304, 0.28677670959550156, 0.3516889015043997, 0.34392039258451473, 0.3100589133755182, 0.33815588385124806, 0.34325092977466637, 0.23233171059258015, 0.45357236669293405, 0.431254471738612, 0.19501598986303023, 0.30337653478854026, 0.3022194238942232, 0.37849243306169966, 0.34948113903506617, 0.38665727037820063, 0.28569727992381405, 0.31405799559097847, 0.30799157075701084, 0.3532846715328467, 0.3152302243211334, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07559331966012306, 0.2911106934786694, 0.4054125528913963, 0.3526440652024183, 0.32705284960245873, 0.3184996821360458, 0.32507169192953705, 0.32600266954808366, 0.4110131069161652, 0.22824400143249374, 0.32806948282668774, 0.2785266755268654, 0.0, 0.0, 0.0)","(0.5983619224231185, 0.7299168975069252, 0.46561443066516345, 0.5432816537467701, 0.6077844311377245, 0.684400453655016, 0.7725258493353028, 0.6986370519939424, 0.5455766192733017, 0.6010969832959362, 0.8167803891837251, 0.7756703727926749, 0.794044665012407, 0.7934716290420989, 0.6674180520334366, 0.7119377162629758, 0.6279434850863422, 0.5153032832498609, 0.6427604871447903, 0.8182586644125106, 0.8230579531442663, 0, 0, 0, 0, 0, 0, 0.44482758620689655, 0.7668316831683168, 0.8493074792243768, 0.7749747729566094, 0.7974910394265233, 0.6387590310242244, 0.5873427091043671, 0.5236345074017356, 0.5363020329138432, 0.6078524876808139, 0.8318318318318318, 0.8411697247706422, 0, 0, 0)"
1,0.25,0.20819524033807485,0.32467752813030115,"(0.3208653457339264, 0.2817845729682311, 0.30224458204334365, 0.2886166156154279, 0.3351909184726522, 0.36616646762552574, 0.3268107476635514, 0.29855351976856315, 0.4149197008704181, 0.4184334696445423, 0.17923130895766742, 0.27184540765262916, 0.40176899063475546, 0.3975661493803729, 0.4292840979222382, 0.3370176848874598, 0.2582649212336366, 0.30905738649458403, 0.38495486459378137, 0.20239508037544504, 0.3687650987636777, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.31721056721056723, 0.22871596884776677, 0.2934272300469484, 0.2854887514800684, 0.35279468732706143, 0.3989051739360763, 0.3818260932627457, 0.33897256034660617, 0.3174918262494162, 0.30412011173184356, 0.25072296124927707, 0.0, 0.0, 0.0)","(0.7135791366906474, 0.780322748568454, 0.44211718086611945, 0.49693251533742333, 0.6246153846153846, 0.7563277563277563, 0.7728968089515127, 0.704597177969959, 0.5218162195497996, 0.5985421166306696, 0.48349106203995795, 0.8622710622710623, 0.8008711885500933, 0.7811780190852254, 0.7635382363702891, 0.7117996604414262, 0.5932721712538226, 0.5251101321585903, 0.3656282747451653, 0.26285554154406615, 0.817966903073286, 0, 0, 0, 0, 0, 0, 0.0, 0.8361495135688684, 0.6197691197691197, 0.5955419431682831, 0.6875792141951838, 0.6981519507186859, 0.5964356435643564, 0.5403325123152709, 0.5235818992989165, 0.8578640164063732, 0.8287345385347288, 0.8050139275766016, 0, 0, 0)"
2,0.3,0.20113654018336047,0.31331420332669435,"(0.28131275100401604, 0.29017362393793866, 0.3557303695150115, 0.13584637268847796, 0.29608737397983675, 0.3165471563851333, 0.30826383623957543, 0.36740662966851656, 0.4303996303996304, 0.4009457984721717, 0.12063975628332065, 0.2154308617234469, 0.20577423801500996, 0.3518449956806121, 0.40959232613908875, 0.29445602933774356, 0.1673294585500153, 0.26590947051945885, 0.4053696211842589, 0.399663086965677, 0.37683823529411764, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1719509689789769, 0.2706162004022673, 0.37673870333988213, 0.381025483573841, 0.35550761951151627, 0.26787656334964655, 0.3459448444504823, 0.3490068065009029, 0.36143117040630685, 0.3782145097219318, 0.2976998491704374, 0.0, 0.0, 0.0)","(0.6603328914420385, 0.725635103926097, 0.4933933933933934, 0.20084121976866456, 0.58927505075839, 0.6256626636373471, 0.8304738562091504, 0.7005577005577005, 0.7495373722745192, 0.5916264090177134, 0.23157894736842105, 0.847123719464145, 0.5611946532999165, 0.6713764276462969, 0.7613443879825266, 0.5673316708229427, 0.2683345597252882, 0.3506221781742099, 0.4974275656647712, 0.7954735959765298, 0.8210947930574098, 0, 0, 0, 0, 0, 0, 0.0, 0.4596375617792422, 0.7744636316064888, 0.8228630278063852, 0.80245716133204, 0.6779458598726115, 0.5103600103600103, 0.5524460353617529, 0.5277252678008821, 0.8485999050783104, 0.8433566433566434, 0.8211128445137805, 0, 0, 0)"
3,0.35,0.2146790231085043,0.33220267482814414,"(0.31770755701296766, 0.3124209003796782, 0.2811184210526316, 0.2771672771672772, 0.2932410856838744, 0.36591829223408173, 0.4555750829916032, 0.34950270458907695, 0.44644965424186206, 0.36044451602512484, 0.3571111111111111, 0.2382804503582395, 0.23505279440446566, 0.3127187195226895, 0.3806265206812652, 0.3645071516406705, 0.41737526070912884, 0.31908080617818796, 0.303335226811653, 0.3280871670702179, 0.31338545646934335, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3342594366736923, 0.3191586947975364, 0.3360868377935554, 0.15265941816044667, 0.38405643738977074, 0.33429357077386407, 0.3980653552267924, 0.31654949648489455, 0.4065013682726594, 0.4189241636264845, 0.21887343293834793, 0.0, 0.0, 0.0)","(0.7336086732059887, 0.75, 0.47194610117075325, 0.48937480751462886, 0.6131305637982196, 0.5558537403555853, 0.8058721934369603, 0.7033005617977528, 0.7204681545998911, 0.5782945736434109, 0.597508830637665, 0.8168421052631579, 0.839942321557318, 0.7682875264270613, 0.6637496685229383, 0.747643701048719, 0.6432987141444114, 0.5482200647249191, 0.34296724470134876, 0.7937238493723849, 0.7571367703451214, 0, 0, 0, 0, 0, 0, 0, 0.7328292375551355, 0.8250338753387534, 0.8267002518891687, 0.3408792650918635, 0.7186798679867987, 0.6466565349544073, 0.5514639639639639, 0.5204623555139019, 0.6255742725880551, 0.8363551836355184, 0.3959304131717925, 0, 0, 0)"
4,0.4,0.2040122640740858,0.3161160785659464,"(0.21329423264907135, 0.31653346057497317, 0.3021988906497623, 0.2336153735838233, 0.3413112055959402, 0.2769521113470158, 0.43397990184622576, 0.33747347397328675, 0.22791562272690535, 0.40379247280777747, 0.39468779123951536, 0.22944437112313582, 0.20439189189189189, 0.09804854831032842, 0.46258169934640525, 0.3501681442983797, 0.4144981412639405, 0.3955075974454966, 0.29273392577104024, 0.33751432573538775, 0.36769690927218346, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2333639475661685, 0.2133565502407047, 0.348014440433213, 0.2749782040104621, 0.39853010905642483, 0.37620357634112794, 0.40196998123827393, 0.17426832318852664, 0.4183137739345275, 0.48721721537612656, 0.38955711603976917, 0.0, 0.0, 0.0)","(0.6953473550031868, 0.7530864197530864, 0.3834841628959276, 0.346854040242734, 0.5933476394849786, 0.43353028064992616, 0.7413173652694611, 0.5789699111253882, 0.3439443834613977, 0.6695395419359987, 0.6249385145105755, 0.7670416942422237, 0.7533073929961089, 0.23094170403587444, 0.7943322109988776, 0.6997800586510264, 0.6483377575527746, 0.550920245398773, 0.3249202204815782, 0.7480948348856901, 0.7816871555743959, 0.0, 0, 0, 0, 0, 0, 0, 0.6456456456456456, 0.35120553026471085, 0.8106289942818702, 0.7841869716558926, 0.7030531158511083, 0.5982500911410864, 0.5422334704207529, 0.23346738159070599, 0.630586592178771, 0.8104635153740248, 0.8356450410141685, 0.0, 0, 0)"
5,0.45,0.21325066806808293,0.32876335552296276,"(0.2056863960334676, 0.32917117920621775, 0.3326217737240442, 0.3330181818181818, 0.31945975744211685, 0.29908103592314117, 0.46690548360429873, 0.36865471113966936, 0.3108108108108108, 0.4187045210545151, 0.25294365012615644, 0.18097199969481956, 0.2292576419213974, 0.243544045973667, 0.4906927921623513, 0.32821759611001367, 0.3792867981790592, 0.12721428571428572, 0.3209441606482297, 0.3783764772087788, 0.3739041794087666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.27076258104353196, 0.43084828427103294, 0.3565564156697162, 0.32464407459394423, 0.2882471758809007, 0.3519173623885666, 0.3580710583640051, 0.3405679513184584, 0.3513077624290022, 0.4641918806678532, 0.41195558119411596, 0.0, 0.0, 0.0)","(0.6550703182827535, 0.7218496786811959, 0.77068345323741, 0.4850121809130389, 0.40738137082601056, 0.6401430487259723, 0.7848804891606448, 0.6285230554725625, 0.5420460632029994, 0.5525383707201889, 0.2807467911318553, 0.5074882327770646, 0.7537688442211056, 0.850609756097561, 0.6710690018183558, 0.7114624505928854, 0.6506572953273461, 0.18374084390797482, 0.5070971333147788, 0.8767726161369194, 0.7837606837606838, 0.0, 0, 0, 0, 0, 0, 0, 0.6766975308641975, 0.7916466634661545, 0.7692307692307693, 0.8078842315369261, 0.5483916880159407, 0.6037873270211216, 0.49301892646602546, 0.5628561850486088, 0.5998563218390804, 0.890569105691057, 0.8208333333333333, 0.0, 0, 0)"
6,0.5,0.21272505092385413,0.3306701730869937,"(0.13730232558139535, 0.38516215015548644, 0.335016619790335, 0.29335190118672805, 0.29130434782608694, 0.2714219546086151, 0.44873921698739216, 0.49450130315936686, 0.2591516103692066, 0.48743424897720633, 0.3274290179734306, 0.33180252583237657, 0.26619303151689216, 0.2509373828271466, 0.32323232323232326, 0.40312911244333965, 0.352268562632852, 0.28996523004770763, 0.4259833134684148, 0.31148419360600105, 0.3481821813823412, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1933214747736093, 0.2191637298790361, 0.2836102719033233, 0.279445727482679, 0.3491717523975589, 0.3621621621621622, 0.34315656210437473, 0.6000686184812443, 0.37709563164108617, 0.30033196641281, 0.3993488876831253, 0.14276025771447948, 0.0, 0.0)","(0.6465177398160316, 0.7304128053917439, 0.7726669615214506, 0.4792284866468843, 0.4353790613718412, 0.4244531363175431, 0.7522246941045606, 0.7300112612612613, 0.7085481099656358, 0.6126346718903036, 0.39342723004694835, 0.7603723942521756, 0.7623376623376623, 0.6306242638398115, 0.5718585402558315, 0.6100232326584799, 0.6493717065261451, 0.3783897857971932, 0.49515101136048767, 0.8421052631578947, 0.7767379679144385, 0.0, 0, 0, 0, 0, 0, 0, 0.7022026431718061, 0.3617924528301887, 0.7559134373427278, 0.7217543859649123, 0.7392708814028611, 0.4269115442278861, 0.5022647724933086, 0.5623794212218649, 0.5617305663032008, 0.8014590932777488, 0.877365519296677, 0.7221269296740995, 0, 0)"
7,0.55,0.21331166332037985,0.33293579357562414,"(0.0, 0.4113968853232657, 0.3141592920353982, 0.3142369575816675, 0.29633959231387447, 0.38437849944008956, 0.4049373618275608, 0.4191880618060044, 0.28468516542155814, 0.38193189715079917, 0.4685364742630312, 0.24479875559012249, 0.3257905963090049, 0.29428059312367605, 0.35825709594182503, 0.3612152408661109, 0.30486918604651164, 0.3492647058823529, 0.37525110486139013, 0.3296524257784214, 0.252186224702257, 0.10826446280991736, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.21085184143941524, 0.31503449945527173, 0.2887804267567737, 0.32056362835755176, 0.36027052804994364, 0.39338207002693343, 0.3985621854780733, 0.45142421159715157, 0.34818825489379424, 0.3597638127372417, 0.37521626297577854, 0.19679175021483816, 0.0, 0.0)","(0.0, 0.5124926513815403, 0.5174773166741038, 0.4812844207971623, 0.4884393063583815, 0.6040475142982842, 0.6464705882352941, 0.6708979783732957, 0.7199730094466936, 0.22045728038507822, 0.5904059040590406, 0.7928211586901763, 0.758419689119171, 0.7859007832898173, 0.6003341194968553, 0.661543190900707, 0.4774505619576042, 0.4583333333333333, 0.5173082248684575, 0.8173249551166966, 0.5039108004659677, 0.805327868852459, 0, 0, 0, 0, 0, 0, 0.7403751233958539, 0.787562414888788, 0.7913237311385459, 0.7934604904632152, 0.6716779825412221, 0.6622619510299261, 0.5767790262172284, 0.5522713130056005, 0.46771847376076986, 0.8585807750377453, 0.7918758557736193, 0.7806818181818181, 0, 0)"
8,0.6,0.22570488333804112,0.3475096211931533,"(0.0, 0.3196239717978848, 0.33594006703029505, 0.33282588011417696, 0.3855815554026153, 0.3320175438596491, 0.43209732813318585, 0.435001236501525, 0.3729108635097493, 0.5631474710542352, 0.39895397489539747, 0.2900323573514324, 0.25554318112787283, 0.30946660259490627, 0.385772619815173, 0.45937539672464134, 0.3749387355007352, 0.3218709808434306, 0.38617628408370325, 0.14669635048103682, 0.3861798012479778, 0.24987493746873438, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15438261635589487, 0.31951888321076904, 0.3426413907024306, 0.30794778713215415, 0.2628469693291252, 0.4530321046373365, 0.36077680525164113, 0.3388233296544698, 0.3551912568306011, 0.3977090325404932, 0.3914879523060363, 0.25900900900900903, 0.0, 0.0)","(0.0, 0.7401360544217687, 0.7593582887700535, 0.48128783709411116, 0.5360602798708288, 0.6925892040256175, 0.7541399979680992, 0.5268044324648098, 0.6856594110115237, 0.5906839245765421, 0.48635552155062484, 0.7580445544554455, 0.5417471560420691, 0.8126182965299684, 0.5293423768799764, 0.693000095757924, 0.7981220657276995, 0.5178046390068605, 0.509765625, 0.26727509778357234, 0.7689829728485964, 0.8398486759142497, 0, 0, 0, 0, 0, 0, 0.766120218579235, 0.7886479003230272, 0.8134453781512605, 0.7009493670886076, 0.5465253239104829, 0.6381909547738693, 0.5602633535096103, 0.4007028112449799, 0.536126690861102, 0.869377990430622, 0.8612021857923498, 0.8310749774164409, 0, 0)"
9,0.65,0.22581638485199404,0.34531459613084103,"(0.0, 0.3062586926286509, 0.3611878453038674, 0.30223178273729495, 0.34476149914821125, 0.27752100840336136, 0.4014322388866369, 0.38295602702382364, 0.2898739678400695, 0.5569800569800569, 0.30275489917637033, 0.2670250896057348, 0.3264417845484222, 0.2902442613301942, 0.49241949630372134, 0.49118342119614616, 0.3668353265869365, 0.3436419125127162, 0.35368907724908494, 0.4165807686644088, 0.4196338920213177, 0.3386243386243386, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.21655551196547665, 0.3768513439385628, 0.36101490132903746, 0.3881408827463219, 0.3255265759257851, 0.37259100642398285, 0.40339486858573215, 0.49727432320059134, 0.46034816247582205, 0.1870936672285095, 0.3670577479811062, 0.3141488977231659, 0.0, 0.0, 0.0)","(0, 0.7274529236868187, 0.6945551128818062, 0.3161744022503516, 0.5384103757898238, 0.39438722197342885, 0.5900109224506007, 0.3627484001347255, 0.7456679709334824, 0.6512015227218654, 0.26314490249321154, 0.8175582990397805, 0.7697241821680565, 0.81122763726095, 0.7774480712166172, 0.7902895583503948, 0.7041942604856513, 0.6075539568345324, 0.346742209631728, 0.6740528949249464, 0.7755888650963597, 0.7935813274981766, 0, 0, 0, 0, 0, 0, 0.7439353099730458, 0.76772030651341, 0.8440677966101695, 0.7306143001007049, 0.7026095519448547, 0.5346795434591747, 0.5854904632152589, 0.5410132689987938, 0.5480263157894737, 0.3719483006223073, 0.833852544132918, 0.7419974391805377, 0, 0, 0)"
